ave_born,ave_start_work,dept_num,dept_worker_num,ave_prof,mach_cat,meth_cat,time
1987,2020,24,21,0.15987867076450013,2,2,5
1983,2004,14,11,0.7229450487058818,1,1,3
1984,2009,20,16,0.3200626223744404,1,2,1
1984,2007,10,2,0.8575587153548518,1,3,5
1990,2020,14,12,0.10943850969601066,3,1,1
1978,1998,17,15,0.5481387204216858,2,1,5
1978,2002,16,9,0.27099823249740285,3,2,4
1963,2002,19,14,0.1115869120142885,1,1,5
1976,2009,28,23,0.39259123761258663,3,3,3
1975,2011,21,16,0.9605803700048986,1,2,2
1982,2020,17,8,0.5343416935253091,3,3,3
1971,2007,11,6,0.357330690782518,3,3,1
1993,2015,17,15,0.5559447077548244,2,1,5
1998,2020,22,14,0.6219700509665709,1,1,3
1962,2001,28,23,0.0993730378318678,2,3,2
1982,2018,26,21,0.5414648126740181,2,3,5
1961,1990,21,19,0.6173498434589478,3,1,4
1971,2003,21,13,0.7847299822672248,1,1,4
1967,1993,26,17,0.6425807781400502,1,1,4
1978,2000,27,20,0.21301176351433648,1,1,2
1967,2004,29,20,0.31347699859577693,1,2,2
1971,2002,26,17,0.8916801433325882,3,1,5
1993,2016,29,20,0.6290394499803681,2,2,5
1978,1998,15,11,0.6419922553498861,2,2,3
1991,2020,27,22,0.012748971271900778,2,3,4
1964,2004,18,12,0.9948644691755337,2,2,2
1985,2008,25,21,0.2892057759773127,2,3,1
1983,2007,15,11,0.8219841591502562,3,2,1
1977,2001,20,12,0.012592160671712871,2,2,3
1985,2010,15,11,0.1121630823554316,3,1,5
1967,2002,14,10,0.5931191974052757,1,3,1
1980,2003,25,19,0.8912496143639373,3,3,4
1963,1986,22,14,0.28106424556827503,2,1,1
1961,2001,13,9,0.12143339215457749,3,3,2
1974,1995,28,20,0.15971562789165306,1,3,1
1991,2020,21,15,0.7996424702278826,3,3,4
1987,2020,14,8,0.03406618436333797,3,3,3
1966,1992,25,22,0.6193472894506041,2,3,4
1991,2020,10,8,0.15814136899572917,1,1,4
1996,2015,18,13,0.4780933061214444,1,3,4
1970,1998,28,22,0.8811910160413979,2,1,2
1961,1983,28,22,0.4100055803825804,1,2,2
1977,1997,15,13,0.2120908565271451,1,1,4
1961,1996,28,20,0.6140617237147461,2,3,2
1961,1981,17,15,0.8615674558328513,1,1,2
1994,2020,17,11,0.3544695736797844,2,1,5
1968,1996,18,15,0.908839651537642,3,2,5
1961,1997,28,19,0.22816595421496788,2,2,2
1965,1985,22,13,0.28838449897692653,3,2,3
1969,2002,18,12,0.37485919178081006,3,3,4
2002,2020,19,15,0.32605934924116575,1,1,5
1973,2008,29,20,0.08233986430762408,2,2,3
1995,2014,27,22,0.41494691872236045,3,1,3
1967,1986,27,19,0.024552535767640382,2,1,4
1974,2013,21,19,0.644965983925572,3,3,1
2000,2020,25,22,0.9938256395338477,2,3,5
1981,1999,15,13,0.4829695561178997,2,3,2
1982,2011,29,23,0.21930990228446956,1,1,1
1988,2009,29,20,0.5298815511631203,1,2,3
1984,2014,21,12,0.14378775714777492,3,2,4
1961,1998,16,7,0.621200311880148,1,2,2
1992,2020,17,8,0.9640866547357372,3,1,3
1982,2012,29,21,0.9314035935491839,3,2,3
1969,2000,26,20,0.008648943032558032,3,1,1
1998,2020,29,25,0.8723460041569495,3,2,2
1970,2002,14,5,0.9452133813799073,2,2,4
2001,2019,22,19,0.38849997746786735,2,1,5
1967,2004,14,10,0.7672939584292513,3,1,5
1990,2020,24,17,0.39776254035473013,2,1,2
1999,2020,21,15,0.2581497918675695,1,2,5
1995,2020,18,13,0.5659651672991476,2,1,2
1994,2020,29,26,0.0332029072144594,2,1,1
1980,2007,13,11,0.5486691203906845,2,1,3
1964,1987,15,8,0.30472606865668117,2,3,5
1977,2003,20,13,0.8724118446623302,2,3,3
1971,2001,21,12,0.6949085306715199,2,3,4
1990,2020,13,5,0.6705285673455388,2,1,1
1982,2015,12,4,0.4556642595754128,3,3,1
1998,2020,19,12,0.08822742028832986,2,3,2
1981,2006,19,12,0.9033286697179289,3,2,5
1974,1996,16,13,0.9406342987939871,3,3,2
1998,2020,29,23,0.3070702149395639,2,2,2
1976,2004,26,24,0.9527840613054839,1,2,2
1988,2020,25,20,0.7915410273006555,2,3,1
1963,1988,27,24,0.1976586602481526,3,1,2
1986,2009,13,10,0.9551792370862269,2,1,5
1973,1993,16,10,0.32322876743729434,3,2,5
1976,2008,10,6,0.4833511106197118,3,2,1
1983,2007,11,9,0.15725260330208235,3,1,2
1994,2020,15,8,0.0006849199908754988,1,2,4
1974,1995,14,11,0.3731043103795124,2,2,5
2002,2020,23,21,0.569323309394992,3,3,5
1971,2005,15,7,0.06052712758718559,2,2,4
1998,2020,21,12,0.6349856706803246,2,3,3
1975,1994,24,21,0.4291044812737441,1,3,5
1968,2006,10,8,0.3231726213542381,1,3,5
1973,2010,19,11,0.23727788437176012,1,2,3
1964,1993,26,22,0.9158735345555373,2,3,2
1981,2007,17,12,0.4152038876507762,3,1,4
1981,1999,11,3,0.06321251323178267,2,3,4
2001,2020,19,17,0.2321174979833608,2,3,4
1970,1995,12,8,0.9774492339457387,2,3,3
1968,1992,12,3,0.39297533913548177,1,3,5
1967,2006,25,23,0.19045010607062451,1,3,4
1965,2001,25,21,0.8597434700128317,1,1,4
2000,2020,10,4,0.03962465885438882,2,1,3
1961,1994,19,14,0.5872424104074359,3,3,1
1975,2012,20,11,0.16408243487510288,2,3,4
1977,2006,17,14,0.683577096324711,1,2,5
1963,1981,16,7,0.775765056692725,2,3,3
2002,2020,28,19,0.245131781439901,2,1,1
1992,2018,14,8,0.335892308643311,2,3,3
1996,2020,10,2,0.5791797700635252,3,2,1
1988,2020,22,16,0.297002482326458,1,1,5
1971,1996,19,14,0.2403176281940722,2,3,1
1998,2020,20,17,0.5925167013577632,2,2,2
1983,2007,11,7,0.27715263081137886,3,2,3
1999,2020,19,15,0.7384412993038725,1,3,5
1964,1983,23,17,0.9585713244758848,2,1,4
1999,2020,12,10,0.4676368856753881,2,3,2
1977,2002,19,17,0.24607696744484675,1,2,3
2001,2020,13,9,0.12776764888934733,3,3,4
2000,2020,18,12,0.21896715114149634,1,2,3
2002,2020,23,14,0.027532239974634942,2,2,1
1977,1996,28,23,0.41620710951735207,1,3,1
1986,2020,25,20,0.025156781576792575,2,2,5
1990,2017,16,14,0.7185471987182872,2,2,1
1978,2012,18,16,0.9140917815936002,1,2,3
1962,1996,19,12,0.048257846849006136,3,1,5
1984,2017,19,13,0.3803002818305541,2,2,3
1971,1994,14,7,0.6620072531711849,2,3,2
1985,2016,29,21,0.9431298910069746,2,2,5
1988,2020,18,10,0.7228474207803244,1,2,1
1989,2009,16,10,0.34334157254762154,3,2,4
1992,2018,18,10,0.4805129191387987,3,3,3
1972,2012,13,8,0.8603181662764856,1,2,1
1989,2007,23,18,0.5382419339644435,1,1,2
1991,2018,16,14,0.7565536294546318,2,2,2
1977,2009,16,9,0.4730489138488242,1,3,3
1973,2006,20,18,0.6532636023071907,1,3,3
1960,1999,21,12,0.8397066966777585,3,3,1
1978,2005,11,5,0.14978602968483978,2,1,1
1993,2011,22,16,0.8281117008577115,1,2,4
2001,2020,12,4,0.05939453499361169,3,1,4
1980,2006,24,15,0.5624226893882255,2,1,2
1964,1995,23,15,0.3451098312673466,1,2,2
2001,2020,27,23,0.4269100147321677,3,3,4
1998,2020,23,21,0.710254371607443,3,3,2
1987,2007,11,9,0.7638425769052325,3,3,1
1968,2008,13,7,0.8736823794589339,2,2,2
1967,1998,25,17,0.7412695808938238,1,2,1
1988,2020,22,20,0.1677452250861582,2,3,4
1960,1991,10,4,0.1386677893898941,3,1,3
2001,2020,15,12,0.3629133302808012,1,1,4
1977,2008,25,16,0.8123932257507217,3,3,2
1966,1985,22,20,0.3436314192766524,1,3,3
1975,2006,21,17,0.03269631149131669,1,2,3
1988,2020,21,12,0.048852994897291224,3,1,3
1960,1998,10,5,0.0715178595495587,3,2,4
1961,1982,18,15,0.1491670361115598,1,2,2
1971,2000,27,21,0.4689546925890644,1,2,4
1982,2001,29,24,0.5262448202014768,1,1,5
1996,2020,17,12,0.9544752489374825,2,1,3
1998,2020,11,2,0.634185861547445,1,1,5
1992,2015,23,14,0.04201169337186217,2,1,2
1973,1994,10,4,0.19565722355360582,3,3,3
1997,2020,11,8,0.003104925236475764,1,1,2
1991,2019,18,12,0.8364122299132634,3,2,5
1982,2020,16,12,0.5685848307721934,3,2,1
1993,2020,18,14,0.49273244188421594,2,2,4
1995,2020,19,11,0.9812103087098204,3,3,1
1979,2016,27,18,0.558567761001589,2,3,4
1988,2013,10,8,0.19667081752428095,3,2,1
1960,1981,18,9,0.057936309686266285,3,3,2
1971,2010,12,4,0.608127954276152,3,3,4
1979,2001,19,15,0.05384398467054552,1,1,5
2001,2020,16,7,0.5609542353694693,3,3,5
1993,2020,29,23,0.6628332210567693,3,1,4
1962,1986,29,25,0.26579235228107856,3,2,4
1967,1991,29,22,0.4413829070092886,1,3,3
1969,2009,14,10,0.7912350833661033,1,1,5
1978,2003,17,14,0.3218997491869552,2,3,4
2001,2020,23,16,0.6869560608536069,1,3,2
1962,1985,22,17,0.07768736936598541,2,3,1
1988,2011,16,10,0.23358311131601706,3,1,1
1972,2005,26,20,0.9436737877678301,3,1,5
1962,1989,13,10,0.3463144886195112,1,1,5
1968,1988,11,4,0.17052865533146144,3,3,2
1978,2008,22,14,0.751171686960214,2,3,1
1967,1991,17,10,0.10409499468298511,2,3,2
1976,2010,29,22,0.19033212306759573,1,3,4
1969,2002,26,21,0.900792679603852,2,2,5
1981,2010,16,12,0.8462841352563704,1,3,5
1982,2020,22,20,0.40545682748314016,2,2,5
1990,2020,22,20,0.5434967224209909,2,2,5
1973,2003,28,22,0.8125840047031219,1,3,4
1981,2009,23,17,0.3049046108743889,2,2,2
1998,2019,24,16,0.03241056222716587,2,1,4
2002,2020,27,21,0.6352916676632148,3,2,4
1987,2007,15,10,0.11676599655954578,3,1,3
1969,1999,22,14,0.8519794738495956,2,2,3
1977,2017,28,25,0.1974097260700547,1,2,3
1971,2005,17,14,0.9760189118440624,2,1,3
1986,2004,15,9,0.39483661879967336,1,1,4
1988,2020,29,20,0.44175323228459995,1,1,2
1976,1999,25,18,0.8882047003883471,2,3,1
1984,2011,15,10,0.5105885537178232,3,3,5
1999,2020,20,15,0.6854801304379332,3,2,3
1982,2020,17,14,0.6202507617461261,3,3,3
1974,2014,19,15,0.3634969320742555,2,1,2
1963,1982,13,5,0.15179102364759578,1,1,1
1962,2000,11,3,0.7904247703474521,3,3,3
1986,2008,17,15,0.573952435243505,3,2,4
1972,1990,21,13,0.49480849024967044,2,1,3
1969,2006,17,8,0.30811173795380165,3,1,3
2001,2020,26,21,0.7198041661408726,1,2,4
1984,2020,24,21,0.10836606746384736,1,2,2
1960,1991,28,20,0.3465314954319748,2,3,2
1998,2020,25,18,0.7173723906223036,2,1,5
1983,2005,13,10,0.19808962963221255,1,3,3
1976,2014,14,10,0.17736861170811113,1,2,3
1967,2005,17,11,0.6501895242799012,1,2,2
1974,1995,14,11,0.05227586305997889,1,2,5
1993,2020,22,17,0.5885750385393191,2,2,4
1975,1998,29,20,0.2762525840262956,1,1,5
1988,2020,11,5,0.4611386603753612,1,2,2
1990,2011,16,14,0.6826785002718947,2,1,3
1999,2020,26,19,0.4289061418479766,3,1,1
1960,1978,10,5,0.29135844904138297,3,3,1
1967,2007,23,18,0.10986204867427019,1,2,2
1982,2019,27,23,0.5168348837825872,2,2,4
1982,2011,18,15,0.0958444170342434,2,1,3
1981,2015,16,14,0.4188079646280276,2,1,1
2002,2020,29,21,0.3297311321329829,2,1,1
1978,2000,26,18,0.9896415581108778,2,1,1
1981,2018,13,4,0.1869125542839214,2,2,1
1963,1992,18,13,0.8576478453399354,3,3,5
1981,1999,15,13,0.8833497926116737,2,2,5
1996,2020,25,17,0.34786679275208887,1,2,2
1994,2020,14,8,0.9156674570036113,2,3,1
1996,2020,21,17,0.46041835250455854,2,1,1
1997,2020,27,25,0.5992189898349993,1,3,4
1989,2013,24,19,0.5368377013961558,1,1,5
1991,2020,12,5,0.3157977123343595,2,3,2
1992,2010,24,18,0.5859464097887408,1,2,2
1979,2002,17,14,0.982688485361139,3,1,4
2000,2019,14,8,0.12498115048704983,1,3,4
1981,2004,20,12,0.8449490242895852,1,2,3
2001,2020,26,20,0.20752570782372703,2,3,3
1965,2000,19,17,0.6481136504499045,2,1,1
1989,2020,21,18,0.7936460844454494,3,1,2
1991,2020,21,17,0.9699319176493632,2,1,1
1978,2009,20,15,0.6769547757392294,1,1,1
1980,2002,16,9,0.5607949443698058,1,1,5
1998,2020,17,14,0.9293371539392162,2,3,1
1966,1993,25,19,0.15273008027300616,1,1,2
1962,2002,28,21,0.7355936990867784,3,3,4
2000,2020,11,9,0.84249347113439,2,2,1
1966,1992,23,20,0.6237679614172689,2,2,5
1964,1997,28,26,0.8890523893109188,1,3,5
1962,1992,14,5,0.3258076723441924,2,2,2
1987,2008,10,8,0.5832243823136647,3,2,4
2002,2020,28,24,0.14053957819372132,1,3,2
1965,1991,17,15,0.9236107774746285,1,2,1
