hum,tem,is_gas,sur_tem,is_dew,mach_cat,meth_cat,time
63,16.51136480301207,0,43.73371272441426,0,3,2,5
55,-2.508389722737782,1,34.42317314210986,1,3,1,4
7,5.423649728720825,0,25.863396032348447,0,2,1,2
82,-16.349694123056175,1,-6.6161378563368345,1,2,1,5
67,26.789535472982564,0,-7.705875407986014,0,2,2,3
94,-26.997929190059416,0,93.22777693055755,0,3,3,4
83,-15.806739265126836,0,74.47952108729069,1,3,2,1
86,-32.639327100359566,0,87.41990293915802,1,1,3,4
34,16.712863202231333,0,-40.75359149909438,1,1,2,2
65,-17.928993771107784,0,1.8025325689640965,1,1,3,3
18,-17.769565265008772,0,-17.59089679400308,0,2,1,4
15,-43.812807205556574,1,57.67531464221878,1,2,3,3
90,-9.756711024055136,0,-47.393879550368695,1,1,1,2
91,-12.93122590952121,0,36.64851133374644,1,1,3,3
95,1.9371612093751907,1,22.335702579129375,1,2,2,3
8,-26.148945751131805,1,16.990580143483996,1,2,1,1
80,-20.91301380494325,1,79.04880473205225,0,1,2,2
94,-12.195171540467875,1,86.50187459045426,0,1,1,4
23,-28.059041559715524,1,-38.88161750673796,1,3,2,2
8,35.84468844177309,1,-24.29596524542627,0,1,3,1
13,32.48845179702312,0,-16.62351442711524,0,1,1,5
86,-27.221662023377657,0,34.41708713032283,1,2,1,5
52,-49.76034096786055,0,78.23290181710803,1,2,2,5
54,14.323199685508328,1,23.61929422680805,0,2,2,2
52,14.898248106316203,0,-37.53466211126924,0,2,2,1
24,7.1969583459372615,1,88.87056301649994,0,3,3,4
85,-27.710966615743814,1,25.173010512429883,1,1,2,5
2,-22.905681361390833,0,48.30713579066963,1,2,2,5
2,34.30927327645901,0,-45.83821670341149,1,1,2,1
40,7.949070857431721,0,-31.574578050592066,1,3,1,4
91,-37.438303665258445,1,-26.428544701443535,0,2,2,3
72,-7.521374723216134,0,84.5218892081248,1,3,2,2
29,33.910031998936276,0,-8.115971249917159,1,2,3,4
50,2.282882249978684,1,83.97546758404783,1,1,3,1
59,-14.427951016676523,1,-41.54390624752316,0,3,2,4
27,2.7753946458002687,0,-4.325642078886595,1,3,1,3
28,20.123022924136976,1,7.8263343931166105,1,2,2,1
60,23.79767059519,1,6.435418831288878,1,1,3,2
99,9.164960451848458,0,-3.960784412234176,1,1,1,3
48,25.473839886018013,0,-37.418538227550215,1,3,3,2
0,24.383106946073582,0,21.26586875292608,1,2,3,5
52,-43.670235995457325,1,30.309068488516246,0,2,2,2
87,-24.655557268120166,0,12.85399764261976,1,3,1,4
75,-4.775449276016353,1,9.095899140460588,1,1,3,5
66,26.039469279493716,1,7.247206460021651,1,1,3,1
17,21.852292486343885,1,20.199523305189118,1,2,2,1
82,26.659387478556624,0,-19.430888835559905,1,3,3,1
18,27.811178899329448,1,-39.947427385362424,0,2,1,2
34,-7.665553197306785,1,79.93816950128777,0,3,1,3
91,-49.18769278772871,1,55.43190570873068,1,2,1,5
97,7.565911718659649,0,74.5935891813404,0,3,1,2
30,-36.64129387958842,1,17.258864770688746,0,1,2,2
76,-9.291147423984526,0,-27.61389768317903,0,3,1,5
41,-20.240055989489903,1,38.89883419351047,0,3,3,3
5,-28.738256389130022,0,71.28164279780898,0,3,3,5
35,-44.06420899241134,0,-26.93901665195525,0,1,2,4
66,-4.608324499408873,1,-8.00196315499521,0,1,2,5
64,-36.73970057207287,1,31.500539477401773,1,3,3,1
33,-27.63928694036473,0,-38.72301784967763,0,2,1,3
28,-41.863421672884655,0,76.2968695827936,0,3,1,3
51,-17.80413574713635,1,61.996795472665355,0,1,1,1
73,-40.04276667584953,0,75.57375618217215,1,2,3,1
78,16.910726034643332,1,34.528745616003306,0,1,2,4
38,-40.57555538583376,1,43.950324444374544,1,1,1,5
41,-23.30488214405696,0,52.97716258942148,0,3,1,5
62,-24.135702680446787,0,-26.071495123640048,0,1,3,5
100,4.186344965536115,1,67.93845892732836,1,3,3,1
96,17.135450989535926,0,-31.04134400732602,0,1,3,5
44,-3.1921716912769895,1,41.692465003109376,1,2,1,3
0,-17.47087231896773,1,75.86359534171876,0,2,2,3
60,-38.52699637519674,1,29.00210781032476,1,2,1,3
35,19.115638100360172,1,65.79369274808239,1,1,3,4
9,8.832645685398965,1,14.679439255115739,0,3,1,3
8,-9.958388728466716,1,17.71304288798953,0,3,1,2
2,-49.372760094889394,1,13.743425539103434,1,1,2,2
36,-6.4997747737071805,1,59.332315293498226,0,3,3,5
7,24.85017405335543,0,-16.202255113096655,0,3,3,2
93,24.07198820139959,0,-43.31432356324952,0,3,2,4
54,5.923938636051069,0,29.430553349429616,0,3,3,1
18,30.888423047925244,1,-28.106575237758413,0,1,3,2
62,-11.580390032099231,0,24.863466410931707,0,1,3,5
15,17.992589706617593,1,-23.748884810579852,1,2,3,1
36,-34.141322469308896,1,15.684257582854173,0,2,2,5
55,-37.16729782901875,1,77.42583274182238,0,1,3,5
44,-30.604235070643632,0,84.66795651574404,0,2,2,1
67,-31.466374016262673,0,0.07264074578893798,1,3,3,5
33,2.004426390580498,1,-16.461971236767667,1,3,1,4
88,30.463051745158893,1,-20.39892836364684,1,1,2,5
34,18.51533739260583,1,91.52657945383976,0,1,2,4
22,-47.108602976293966,1,56.91723543496849,0,1,2,4
83,29.15068678185436,1,-4.433360443314335,0,2,3,3
48,-33.868984707192155,1,30.07437970155148,0,3,3,5
47,10.577484963489688,1,86.11436263144265,1,3,1,1
89,-4.900182554517237,0,-3.79252722140982,0,3,3,1
30,0.5305075748127308,1,-22.059327987282888,0,2,1,3
3,-43.46289912938975,1,0.1694015283462491,1,2,2,3
20,-48.374350899664165,1,3.6741190056768573,1,1,1,2
58,34.90347851133993,1,23.205920847155056,1,2,2,3
33,23.164190829895418,1,28.739355126043037,0,1,3,4
75,-18.935577944158286,0,-6.390609090301339,0,2,2,5
59,-27.02340095608128,1,83.48143323037198,1,1,2,5
12,17.453554663110324,1,53.877317710826034,0,1,3,1
90,26.400771012035094,0,21.96374911094965,1,3,2,3
88,28.753507574785715,0,-34.06181324746507,1,2,3,5
94,29.781251549677663,1,42.402674147342324,1,2,3,2
35,7.611937166130474,1,69.05368049679849,1,2,1,4
41,-2.8515972253374358,0,-36.656924631422385,1,3,1,1
49,-5.8965509645733505,0,30.12415963841525,0,2,3,4
80,-31.54508518564261,0,98.96876841070477,0,1,3,5
92,32.00135458341343,0,98.36386029944995,0,2,3,2
47,39.342830861024765,1,56.38659381283016,0,2,3,1
17,1.5829401357154111,1,-19.132160061072863,0,2,2,4
54,29.63655915993715,0,91.55640419106513,0,2,3,3
8,13.24894045723422,0,-21.826983994834357,1,2,2,3
79,-9.75608343101657,1,70.36895539913603,1,3,3,4
31,9.528025985609155,0,45.343889846469764,0,3,1,1
84,17.068009259392994,0,-49.23956511519796,0,1,2,5
82,20.367034844016402,1,-14.965575090166716,0,3,3,2
46,24.212903949285305,1,10.71020944489888,0,2,3,4
2,-0.27715809360599764,0,-29.085319013133766,1,3,3,2
6,-33.72773855789413,0,-17.791318929536786,1,1,2,5
3,3.0054023731909894,1,90.61551032225611,0,1,1,2
44,37.70728329652697,1,-8.211259396897177,0,3,3,3
93,-49.093534785838564,0,-3.4998000718257245,1,1,1,1
45,-46.29728548600335,0,28.32881515470912,0,2,1,5
55,-9.158149513883842,1,26.490214342225684,0,3,1,4
65,12.458630269821477,1,-36.7443656853348,1,1,3,2
35,-12.826845146855263,1,6.733084130522364,0,1,1,3
58,-25.150285118645947,0,46.69211063513359,1,2,2,5
46,38.083147503667774,1,44.67821021230969,0,2,3,2
56,2.1054274889726443,0,2.733829799524152,0,2,1,1
54,-22.945463003987054,0,-46.43197467123632,1,3,3,1
93,-29.9628027325279,1,95.53561317214337,1,1,3,1
8,26.316154883107288,1,-9.038780790712238,0,1,2,5
14,-39.52235977484601,0,-16.903778236102447,0,1,1,3
45,17.902648131267597,1,76.90021457988757,1,3,2,2
77,1.6110687492522047,1,10.898361535003623,0,3,2,1
83,-2.6880495928551227,0,96.47745659771559,1,1,3,3
87,-9.143079956361788,0,20.324784152796738,0,2,2,5
16,35.24930440245707,0,14.233469790988337,0,2,3,2
13,-4.5002770171256685,1,5.3013568537974365,0,2,1,2
17,15.965710215520602,1,83.49186727142705,0,1,3,3
47,8.83190712239901,0,-29.555720056705447,0,2,1,4
42,-32.58808065062148,1,34.789004240728815,0,1,2,4
96,5.975751769958279,1,-15.836202217945313,1,1,3,2
80,7.8769211404730015,0,83.87091590460571,1,3,1,5
5,-38.956089505182376,0,15.482201040099923,1,3,1,2
79,-6.208007340648379,0,-5.323609409263312,0,1,1,2
52,6.2623431081736385,0,-2.867813837659156,0,2,1,2
85,1.939456863213934,0,22.66222605428709,1,3,2,4
19,-23.032261168085363,1,65.01529877611488,0,3,1,3
19,-20.32562555394546,0,46.60493594903902,0,2,2,3
55,-33.79853576360704,0,-17.39223087784893,0,3,1,5
96,-22.42068704456906,0,75.52507842337823,0,1,2,5
80,7.82454139226639,1,62.87167232229342,0,2,2,2
73,-46.394290065186816,1,21.80853886055735,1,3,2,2
25,14.217709475380474,1,-17.79205659368575,0,2,2,1
26,-12.9907728188252,1,-45.4131028203678,1,1,1,3
75,4.468330875073178,0,89.5834048014674,0,1,1,3
74,-0.8197506838277562,1,9.550601003129913,1,2,1,5
21,-5.34151045180333,0,0.3469980768717704,0,1,3,3
0,-36.6893458146244,1,-17.066000887817438,0,1,1,4
25,-24.455623498335427,0,32.9963402530517,0,3,1,5
8,26.36251857660484,1,-49.47240298705998,1,3,2,2
4,11.728682883133636,0,-3.96068466841227,1,1,1,5
80,36.942444958432034,1,-26.082076073621103,1,1,3,5
29,23.461470253328798,0,51.497639721288536,0,3,1,1
8,-22.40434961259961,1,31.409368638883095,1,3,2,3
6,4.4154135712435405,0,31.791490876040655,0,2,2,4
11,5.605223736796482,1,84.64318448492023,1,2,3,1
98,26.31170984534465,1,-7.322530935094392,0,2,3,1
6,-37.654937029455084,0,57.30459692488992,0,2,2,3
34,12.196990420370433,1,11.812304130896216,0,2,1,3
49,-3.690329213650969,0,18.483189007099014,0,2,1,1
3,-35.86884918612098,0,85.8159920130777,0,3,2,4
27,-41.421309333318106,1,-35.610406303856145,1,1,1,3
5,-14.488750151042268,1,-46.780199514812324,0,1,3,2
59,7.1507644647353175,1,77.68190274915577,0,2,3,2
30,17.358694034189668,1,-34.25582406875277,0,1,1,5
66,4.757234936300392,0,-45.66243261793455,1,2,3,3
47,1.9602750810722256,1,80.16636718426142,1,1,1,2
3,-34.38467991724011,0,1.917730041254174,1,3,2,1
40,-31.559487355764237,1,97.62835355763494,0,1,3,5
34,-42.4099106568457,0,87.48048151705865,0,1,3,5
40,20.895378746764464,1,45.79215568138163,0,3,3,3
82,-24.052446843108736,1,84.68071648937385,1,1,2,2
81,-33.60535176041516,0,-15.50779952051078,1,2,1,3
15,-4.42097554777353,0,68.05091123377666,1,2,3,5
83,17.214977902484947,1,-33.41061212428609,0,1,1,4
30,29.373470809014677,1,47.64855514869109,0,2,3,4
81,-44.51815455210287,0,-25.98125316380406,0,1,3,2
63,-27.12468574837377,0,59.765755150517464,1,1,3,1
8,-20.005668039656534,0,84.86600273403587,1,3,3,1
66,-16.51942743406427,0,33.49334919978931,0,3,2,2
83,-0.14403829046499794,1,-27.158265349950117,0,1,3,1
40,20.004217247528018,1,39.51943945968317,1,1,1,5
98,-46.557181532004044,0,77.95788999061136,0,3,2,4
5,-22.43623329868005,1,-5.762368202182998,0,1,2,5
93,7.8896717134708325,0,69.45347505266746,0,1,2,5
85,-20.6025705832285,1,56.79506004535493,1,1,3,3
74,15.504361608407578,0,23.45754962350449,1,3,3,2
25,1.7170432337851693,0,50.66705847636699,0,3,1,3
89,3.8197649259054884,1,-6.933449584167178,0,3,1,2
91,-11.380631578457042,1,61.95342204527046,0,1,1,4
80,-8.891929995470548,1,-36.67364547789246,0,1,3,4
95,-13.44851496059782,0,11.183750404918982,1,3,1,2
63,-26.14457231981127,1,5.896380625705902,0,3,2,3
63,-27.775448934681673,0,21.955196679541558,0,3,1,2
91,33.736031242096544,0,70.44444382746349,1,1,2,2
51,-36.0636574544901,0,-24.49161074869302,1,3,1,1
64,28.85423223303411,0,11.645490346149458,1,1,1,3
82,8.702444129360835,0,-21.143542285366795,0,3,2,3
91,-35.85207099321886,0,40.96332643369594,0,2,2,1
94,-22.233025538419067,1,-15.724085092598386,0,1,3,4
78,-34.275555273585404,0,34.61666347840058,1,2,3,2
35,5.832252238684163,1,46.093321823244494,0,1,1,1
69,18.95756937304546,1,78.43397533978705,0,2,2,2
43,16.385245094664455,1,90.12135955668484,0,1,2,5
29,8.386525543908476,0,27.47328018089162,0,1,3,1
32,-5.7070996638008396,0,59.59872673823553,0,1,2,2
35,3.435058742160429,0,49.40926499484816,1,2,2,1
7,36.552074691170475,1,84.77450556368461,1,2,2,3
25,-0.6123766836761035,1,91.75073039281048,0,1,1,4
32,-6.443970741299374,1,51.99378912372798,0,2,1,3
50,-24.47915591524223,0,87.22690250007318,0,2,1,5
18,-41.98631929104998,0,73.47837560402887,0,3,2,3
69,-4.0099313949802635,0,-47.753757507445904,0,3,1,3
32,31.282084465656965,0,31.556586482677247,1,1,1,5
33,-29.00847088827511,1,49.21765923061581,0,1,3,2
30,39.76097133586751,0,-14.071894408055869,0,3,3,5
58,-47.800585755368594,0,69.1328695535164,0,1,3,5
29,-4.960444780625927,1,-10.497835730328028,0,1,1,5
24,31.984444975109284,1,89.86913520525928,0,3,3,5
82,-49.82400877813645,1,-32.026944585141244,1,2,3,1
14,29.825008510362608,0,-39.51063130875481,0,1,1,1
96,32.29724879785,0,85.14436906858532,1,3,3,3
66,-11.094467877132963,1,28.406263075561696,1,1,3,2
6,-6.322660713993393,0,-28.172636618444148,0,3,1,1
74,-31.543572871201484,0,-14.91536298797103,0,3,3,5
8,-14.428732317159515,0,-14.069415402794533,0,1,1,2
5,-26.415597112568737,1,37.88454036072889,1,3,2,3
47,32.04100996745754,0,-6.689456412224445,0,3,3,3
89,34.90003603132719,0,77.00711627113115,1,1,3,1
71,-16.370274760604403,1,65.62310615558228,0,2,3,2
65,-48.80463929837159,0,54.99603641332824,0,1,1,2
80,-28.592453984524713,1,-49.3927853889634,0,1,3,2
60,-3.434430445083322,0,92.23205375183034,1,1,3,4
9,-44.096372514132,0,83.48619058115321,0,1,1,2
53,5.19281524086508,0,-48.14689056868008,1,1,1,3
93,-18.970347092338734,0,8.92666351512922,1,1,3,4
78,4.275428812573331,1,59.42186979341584,0,3,3,3
68,10.809003300870586,1,14.551234156540701,1,1,3,2
52,-23.205847947053083,1,-42.675442202615486,0,3,3,1
15,16.006968810240153,0,36.274762332830235,1,3,3,1
55,-20.457451430199495,1,0.6222405395734114,1,2,2,2
51,-4.333384980810038,1,67.41022489601941,0,1,1,2
66,-16.694539708685312,1,-41.87694801244621,1,2,2,2
34,-34.0426823580785,1,21.696287636848723,1,3,3,3
43,27.088734688286124,1,29.483716893066855,0,3,2,3
90,-35.51235545416685,0,57.24158856822987,0,2,3,4
26,-35.91803222278607,1,2.696421489188417,0,2,3,4
6,13.749297399100485,1,14.295993206669678,1,2,1,5
24,27.91337233782548,1,70.2187472885988,1,1,2,5
52,29.70490878300825,0,-7.96187650093389,0,2,1,4
72,-35.04239208553014,0,-33.07180413397461,0,2,3,5
33,-4.005611561521839,1,90.82158571182973,0,1,3,1
36,-31.067193541633507,1,-8.10000132983987,1,1,1,5
17,-27.05534706672455,1,62.92002099291172,0,2,3,5
5,-38.19039259428878,0,69.90976976146649,1,3,1,4
27,-6.399045379664017,0,51.41652550239169,0,1,3,2
75,9.196352417055351,1,19.65490650999405,0,1,3,4
68,35.06739315261932,1,-40.4958426426622,1,1,2,4
36,29.477807577105864,1,-22.68388295248246,1,1,3,1
9,-45.46904986896763,1,42.66505322725378,0,2,2,5
2,39.21183582180295,0,77.14042194144926,1,3,3,1
81,-26.10611522496511,0,1.9258936734037206,1,1,1,4
45,-48.663962536327475,1,35.59915264988615,0,3,1,5
71,8.351632557820821,1,-45.313544566917265,1,3,3,1
83,3.682089276803623,1,-49.93908206348443,1,3,1,4
89,-28.688033092729704,1,82.32480574204814,1,3,3,4
88,-7.45304252967167,0,-31.924470834836754,0,1,1,2
47,38.43174773494094,0,-44.080057763115526,0,3,1,4
19,26.927836275734876,1,0.6123313132499391,1,3,1,4
74,13.936438800852237,1,70.04441872598235,0,3,3,5
67,-44.01154035031725,0,-14.553909396401323,0,2,3,5
9,12.852800990797682,0,16.587720268160183,0,3,2,4
97,3.237927728226296,1,86.01936337410712,1,2,3,2
66,27.886160601715446,1,-49.67280689306613,0,2,2,4
22,37.24076595430505,0,-41.52652129894337,1,2,3,2
90,-30.68795151916233,1,65.74460067636808,0,1,2,2
44,8.951146855043831,1,-9.010154559199172,1,2,1,4
62,23.559518785167384,0,5.011690271924479,1,1,1,3
41,12.093834646025101,0,77.727178540199,1,2,2,5
100,31.83992476460658,1,-46.18473694247877,0,3,3,4
83,5.957304734972453,0,27.905808087169603,0,1,2,1
48,-24.665301550882646,1,-47.12547198787064,1,1,2,5
24,31.592687788260918,1,-6.87804357403737,1,3,1,2
30,15.773267089828465,1,-25.317932071778326,0,3,1,4
27,-34.71072272490481,0,58.11474949299638,0,2,1,2
32,20.509573571265918,0,93.18980847791187,0,2,1,1
76,2.505263184384283,1,91.73568218565688,1,1,3,1
49,27.227794872732275,1,80.91008556664349,1,3,1,2
40,12.81843205653854,1,-32.679086156514025,0,1,3,4
22,37.80468879832989,1,-49.991925314165364,0,1,2,5
24,-19.813072232469107,0,83.59322187382136,0,1,3,3
59,37.77967948019824,1,48.01685000558173,1,3,1,2
54,8.455727191350064,1,69.52998066396357,0,1,1,3
26,29.66394483607783,1,40.70446689877946,0,3,2,3
16,21.331780090097155,0,51.119847350031975,0,1,3,4
43,-0.7503602761578918,0,-15.45769014284852,0,3,1,3
3,-23.642317699270077,0,50.01855688270906,1,2,2,2
29,17.5425936374819,0,81.87888380561043,1,3,3,2
93,16.36431015132257,0,-16.86696926562817,1,1,1,1
31,10.64520237026376,1,-4.890435531373235,0,1,2,3
54,-0.9001146612361666,0,-41.74497418942225,1,3,1,3
69,-45.50701910370442,1,65.26118127491,1,2,1,2
12,18.689364202368253,0,-31.60253641648477,0,2,3,4
62,14.113593069004793,1,12.858136290145126,1,3,1,2
2,13.986261478372505,0,37.86059463298467,0,2,2,5
22,-2.7434438944391673,1,91.53309842165905,0,2,2,1
20,-46.040394604911526,1,-36.97155577953629,0,3,2,3
86,2.8343952014349227,1,24.16185879812373,0,3,1,5
2,-40.49501220109693,0,71.538770752565,0,2,3,5
5,16.682152119591805,0,-16.636417962781216,0,2,2,1
70,10.947926768720215,0,-28.063555892691998,1,3,2,5
29,39.13832343998112,1,-7.83088335871021,0,2,1,4
68,-4.528604051988921,0,86.59922078460968,1,1,3,4
74,-26.688895928574986,0,-1.0920688968628198,1,1,2,4
83,12.408744603952051,0,-7.8589250778142485,0,2,3,1
84,-33.15800659456767,1,10.340150704171961,1,2,3,1
91,33.43904541803879,0,32.75400650638731,1,3,3,2
95,-10.00435316093791,1,-31.213210121564455,0,2,2,2
55,-44.60139770391804,1,-26.77844527051657,0,2,3,3
64,23.042652095552,0,87.739705790307,0,1,1,1
54,37.00642380577021,1,88.18902230443439,0,2,3,5
76,21.424092543723688,1,-47.281883770516444,0,1,3,1
21,4.626591845440657,0,-48.24462086172332,0,1,1,1
96,-13.295316774081272,1,-40.67561628194094,0,3,2,5
1,-17.171605921845135,0,89.77106956072873,1,2,2,2
93,38.39239125194375,0,-34.57419892467546,0,3,1,3
53,-27.216061703566925,1,46.01693270650128,1,2,3,5
0,-44.82826414738987,1,64.60728820522877,1,1,3,4
58,-7.790254429705314,0,64.53562288919984,1,2,2,5
90,34.21718695136309,0,19.72782542943976,1,1,1,5
75,-24.437346030871854,1,84.39970187437763,1,2,1,1
30,-40.466196038577095,0,89.20593072844207,1,3,3,2
76,8.855027580586118,1,-28.737404203627676,0,3,3,1
19,-41.10281445730777,0,58.71148144911402,0,3,3,2
26,29.23728453046779,1,95.41472281928554,1,1,2,1
97,0.5478468383679669,1,-30.23005999780184,1,1,1,3
96,20.207460380352046,1,6.865950147054669,1,1,1,3
91,0.9729941545392435,0,4.317936092441471,1,3,2,1
3,24.128483805473493,1,62.524645665655314,0,2,2,5
75,19.58586234960319,1,62.42294031400367,0,3,3,2
17,20.685505610300083,1,53.84109521382385,1,2,3,5
23,22.528231692651474,1,43.62730360090232,1,1,2,3
66,-15.677893229544622,0,68.45760682695648,1,2,2,3
75,36.05571259597285,1,-14.997103335534668,1,3,2,5
40,-18.21812607625374,1,-12.290857094006356,0,3,2,5
89,7.310780830351575,1,40.23900459094672,1,3,2,4
66,4.0477806315224925,0,-36.414906956711704,0,3,2,1
20,-30.985061835456783,0,8.725968893212823,1,2,1,3
3,14.964101219589907,0,-7.318515158670216,0,3,3,2
33,-36.98461895864906,0,87.04419364502837,0,2,3,1
1,-18.068602867258235,0,9.6114279059639,0,1,2,5
73,-22.6521707441413,1,13.735665560860816,0,1,1,2
96,38.036780745257275,1,15.568564220161306,0,3,3,1
92,28.600245687998537,0,-4.837647885450181,1,3,1,2
52,-36.220000338172625,0,-3.2566389602859402,1,3,3,1
1,8.86991612666796,1,28.462640901144823,0,2,2,5
70,-11.771184207323138,0,71.88803390058683,1,3,1,2
69,-21.037437970706687,1,-22.179156825150727,0,3,2,2
80,24.4881815891887,0,-46.58110207649569,0,1,3,5
6,-36.02347446633006,0,7.7506285983333,0,3,1,4
24,-19.898625715390867,1,-1.1153723377651943,1,1,2,5
16,-3.1200414051550283,1,67.82639508093729,1,3,1,1
93,6.647362450272681,0,79.49849350507799,0,1,1,3
73,-33.96862719448079,0,-23.624463565383447,0,1,1,5
35,39.46658316749078,0,-38.505728271000756,1,1,2,1
51,-42.05941694009495,0,-6.592171584678731,1,3,3,3
58,-1.9013368227630352,0,-17.404920789758393,0,3,3,1
4,24.707310498766603,1,28.619633631069263,0,1,3,2
87,31.695798719486632,1,-40.83491582957243,0,1,3,4
20,-47.90273588804125,0,88.7564925664991,0,3,2,5
5,27.69147921288753,1,84.07856245638658,0,1,3,4
6,9.123007143123573,0,-47.542311000587134,0,1,2,1
10,-48.65335068061127,0,17.608964718332217,1,2,2,2
48,-49.53643274250503,0,92.43077215669678,1,3,3,1
36,-12.782923576016977,0,58.7755302131301,0,2,1,5
23,23.273450699027947,1,-6.611917204161209,1,2,3,2
62,-28.812880776117172,1,-12.592778105305243,1,2,1,3
0,29.43037816907841,0,32.03142084665687,0,3,1,1
69,-30.93515717806082,0,-40.16036334054612,1,3,3,1
39,-1.554392995476917,0,3.417814976927666,1,1,1,1
22,-2.9965936735191434,0,71.3609719341292,0,2,1,4
32,3.7905549317836886,0,-17.689028922614874,0,1,1,3
22,-21.490274220696865,1,-16.992624539218994,1,1,1,4
20,-31.895286834042324,1,88.56881093970227,0,2,3,2
92,6.443061805577521,1,10.050967452574447,1,3,1,2
93,24.455140661196893,0,69.44375182651991,1,2,2,2
18,24.41938791981123,1,70.55628644259347,1,3,1,5
48,-20.543566834736357,1,11.199517974671622,0,1,3,3
43,39.92350889038944,0,-29.769500583754656,0,1,2,4
26,2.1355533584439073,1,75.58251188378894,0,1,1,1
5,34.65035435544495,1,-38.79828487814185,1,2,1,1
96,-24.450990288849226,1,0.7890956597128778,1,1,1,4
17,31.672088872969397,1,34.72572372077971,0,2,3,4
6,-44.402834424371285,1,77.53591707202366,0,3,2,2
88,-43.451109873633136,1,53.28185117162489,1,3,3,5
80,-29.782315435628128,1,58.20543457959835,1,1,3,1
2,25.61337556194195,0,-29.311931628774097,1,2,2,1
29,18.688407868091033,0,28.85977155218204,1,2,1,2
30,-1.9754814154631788,1,-11.106499820000764,0,2,3,5
25,-30.38099522424373,0,25.00910308381887,0,2,1,2
59,-28.06310839077081,1,-17.974418002678746,1,3,1,5
48,-8.865465320458142,1,86.0269034860508,0,1,3,1
55,-10.046114452214589,0,10.129970672013933,1,3,3,3
37,39.235566840899295,1,-26.55200337766593,1,3,3,1
97,-6.052426959108935,1,34.78095603119661,0,1,3,4
7,-27.414450934529153,0,6.2110869813825715,1,3,1,2
51,-20.521813218856508,0,40.362355570679426,0,3,3,4
38,28.51213318637633,0,37.26579832223352,1,2,1,1
99,-39.831848565585155,0,-17.28660759815137,0,1,1,5
12,-42.77482022372347,0,20.62129216850714,1,2,3,3
52,38.966062135206414,1,0.0755608151588234,1,3,2,4
65,-1.3198213471559939,0,24.293904503799553,1,3,3,2
97,39.4500898054049,1,25.308864271614,0,2,1,4
9,-35.46453537549873,0,71.68941686347401,1,3,1,4
8,5.861250072564992,0,39.21564490728932,0,1,1,3
63,33.85035876667534,1,16.416148131402338,0,3,2,2
67,-23.525057567125174,0,77.55654912549653,1,1,2,5
46,8.864546552905225,0,-14.012677185355386,0,3,1,3
35,-37.29323188913861,0,-33.52509203982934,1,1,3,3
20,-42.49716489611012,1,10.837616461397438,1,1,2,3
