hum,tem,is_gas,per_con,is_metal,d_age,d_type,is_fault
58,-39.280692855454575,1,48,1,5,1,0
56,-12.642687277492982,1,61,1,6,3,1
12,-4.8361913287584315,1,97,0,4,1,0
28,38.70400597131301,0,96,1,9,1,1
67,-6.468419750930188,1,81,1,5,1,1
25,-11.310522367684506,1,92,1,4,1,0
34,-28.264924829206365,0,1,0,1,1,1
27,-10.042375252482628,1,95,1,8,3,0
35,12.578192506678135,1,56,1,7,2,1
56,31.67064841511244,1,17,0,8,1,1
18,-24.521858400070855,0,45,1,7,3,0
76,35.98193635086294,1,13,1,4,1,1
95,28.228020982001524,0,72,1,6,1,0
15,0.038817055271714196,0,97,0,4,1,0
38,-16.942528633408095,1,58,1,7,1,1
94,-29.636646779196234,1,8,0,2,1,1
54,-1.1289449033185335,1,23,0,3,2,0
33,-16.490047492556613,1,55,1,8,1,1
78,-35.82740228872209,1,46,0,6,1,0
12,-10.175515389615128,0,32,0,7,1,1
56,7.93559207141557,0,42,0,1,1,1
73,27.277981042626692,1,50,0,8,3,0
17,-44.60921402634118,0,75,0,5,1,0
44,-16.671287554683737,0,26,1,9,1,1
48,-46.27277480563412,1,30,0,9,2,0
22,38.61332764681224,1,54,1,1,2,0
66,-48.43108395628515,1,68,1,10,1,0
26,3.2422589269539444,1,55,0,8,3,0
52,-27.763900750981566,0,3,0,8,1,0
38,13.113163847911288,0,82,1,3,3,1
49,-7.475901101524691,1,87,1,6,3,1
90,9.483608020313156,1,93,1,7,1,0
85,7.850698466891366,1,15,1,6,1,1
97,22.63663510005628,1,15,1,4,2,0
94,-12.590214084244423,0,86,1,7,1,1
37,14.501946568122818,0,80,0,1,2,1
99,-11.459022466687877,0,51,0,9,2,1
60,-10.389168750901554,0,68,1,2,1,0
47,-40.79935357529483,1,79,1,2,1,0
13,-47.1513077561808,0,26,1,2,1,1
45,20.52076197376597,1,51,1,6,1,0
10,13.050151628192289,0,57,0,9,3,0
25,-32.8921475975623,0,58,0,4,3,0
56,39.47134550775742,1,54,0,1,2,1
82,9.40363483956665,1,52,1,2,3,1
43,-3.542550130763331,1,99,1,10,3,0
26,20.77909637363946,1,45,0,3,3,1
93,-37.26934843177745,1,20,1,3,3,1
100,34.79210517237361,1,2,0,6,3,0
6,23.80481404865715,0,24,1,1,2,1
68,12.981653167157035,1,88,1,5,1,1
58,17.88667301865631,1,83,1,4,3,1
81,2.1311905191074416,0,89,0,7,1,0
89,-41.80129946687207,1,20,0,10,1,0
27,-24.697282774488826,0,54,0,7,3,0
37,23.493287099509985,0,73,0,9,1,1
61,-49.58252520769875,0,27,0,4,3,1
36,-33.508457347914955,0,94,1,7,3,1
36,15.698341762815687,1,87,1,7,1,0
7,18.992022894787937,1,97,1,4,1,1
20,-15.62834356734735,1,40,0,8,1,1
32,16.930849229107693,1,84,1,10,2,0
22,-22.738092256390814,1,39,1,9,1,1
52,-48.38393836066864,0,66,1,10,3,0
97,-13.630594392039633,1,33,1,10,1,1
24,-31.264204793202325,1,95,1,9,2,1
9,-43.221849689786396,0,47,0,9,3,0
33,3.770734577489435,1,0,1,2,1,1
90,31.40057460366711,0,94,1,8,2,0
45,-49.762818092068066,1,68,1,10,3,0
44,-48.489813881832674,1,0,1,10,2,0
76,10.865499412945184,1,0,1,9,3,0
38,6.369197770880774,0,100,0,2,1,0
97,31.748278898974107,0,98,1,9,3,0
74,-21.745708491365843,1,17,0,4,2,1
22,31.59991082324629,0,78,0,2,1,1
63,-32.26662500904285,1,93,1,9,1,1
33,-28.430535899108296,1,32,1,10,2,0
91,-17.341820216691666,1,17,1,3,3,1
12,-44.95434958058219,0,27,0,10,3,0
58,29.388082883884053,1,4,1,3,3,0
49,-48.90795261783284,1,13,1,2,3,0
65,-42.85158752224679,1,21,1,7,2,1
25,23.233325990898862,1,13,0,6,3,0
41,27.145874927355806,1,49,0,9,1,1
99,-18.214257965103936,0,67,0,10,2,0
6,2.1640985770864063,0,11,0,5,3,0
27,-15.67756590610825,1,48,0,8,3,0
47,-35.68485609640578,0,40,0,5,3,1
38,-34.42250221882879,1,88,1,2,2,1
13,9.027214023682426,1,34,0,3,2,1
72,-26.648207585620938,0,23,0,9,2,1
72,21.87238740880261,0,89,1,3,3,0
32,-6.117126041782207,1,68,0,4,1,0
19,-30.108167757646623,1,83,0,5,2,1
41,-18.447572947907172,1,4,0,1,1,1
54,25.88396669214687,0,57,1,3,1,1
12,12.800746643261206,0,96,1,9,1,0
43,35.05703338037213,0,20,1,4,2,1
9,-25.589242723089928,0,60,0,4,1,1
7,-21.843745709116657,1,15,1,7,2,1
98,25.099899886779582,1,74,0,6,1,0
6,12.169658084249349,1,65,1,2,3,1
43,-43.99133021426592,1,7,0,10,2,1
88,0.2932120206294542,0,82,0,2,3,1
41,-14.45911416363002,1,17,1,7,2,1
38,-26.177213334719347,1,77,0,3,3,1
16,-43.94016362248581,1,62,1,7,3,1
20,37.63066362746157,0,85,1,4,2,1
40,-29.071771418765188,0,70,1,7,2,0
73,-0.8330498748803379,1,74,0,1,3,0
72,-46.98812006879751,0,54,0,7,2,1
36,-47.91205143580609,0,44,1,9,2,0
86,-28.82355332176718,1,57,1,5,1,1
17,0.32503044443555495,0,79,0,7,2,1
7,21.349720046132987,0,17,1,10,2,0
84,-28.50500650002438,1,93,1,6,3,0
18,26.17549525911211,1,47,0,6,2,0
39,37.39414930400345,0,13,1,6,1,0
50,-30.150962711334476,1,88,1,6,2,0
92,-49.97874023920754,0,83,0,7,2,0
62,-26.022465230140142,1,7,0,4,1,0
40,-42.49021069336138,1,96,1,2,3,0
56,21.904434414657132,0,7,1,4,2,1
3,19.114406147166576,0,53,1,9,1,0
75,-3.2722775926753584,1,72,0,2,1,0
82,-6.225625865193251,0,12,0,5,3,1
45,-19.441495335999278,0,47,0,1,3,1
8,39.4932347237759,1,93,0,1,3,1
10,-0.8589039784808747,0,56,1,4,3,1
68,-0.6849268677843341,1,47,0,5,2,1
68,-41.957276463800426,0,75,1,4,2,0
87,24.0246463527874,1,88,0,1,3,0
73,-44.633525282338425,0,100,0,10,3,0
41,-8.425882946445746,0,86,1,2,3,0
4,-31.320476267595875,1,100,1,1,3,1
91,25.90536780762288,1,83,0,3,2,1
14,15.378652497728922,1,56,0,8,2,0
68,20.502550302168714,1,33,0,4,1,1
43,15.649722217669037,0,32,0,7,2,0
85,32.66827036547892,1,65,0,6,1,0
58,-4.566640328561128,1,60,1,6,1,1
73,19.819285861992185,0,46,1,2,1,1
73,-2.227508462455191,0,32,1,2,1,1
76,27.998437808790385,0,56,0,6,1,0
2,29.792724337553594,0,55,0,9,3,1
86,-46.819559817048244,1,77,1,6,3,0
5,-5.219334321094557,1,65,0,8,3,1
60,-45.476353228845056,1,56,0,8,1,1
78,1.6272422294394389,0,76,0,4,2,1
45,-20.195608787505343,1,93,1,4,1,1
14,-40.37425179286048,0,3,0,7,3,1
21,-47.52588529061216,1,22,1,7,1,0
21,-42.01447471355578,1,55,1,1,3,0
50,13.579964734631751,0,76,0,9,1,1
81,5.694081180538028,1,63,0,1,2,0
56,-39.227211963519,0,100,0,8,2,0
54,10.346671355026317,1,80,0,10,2,1
73,33.137146055621145,0,59,0,9,3,0
24,-34.44190413706256,1,98,0,9,2,0
5,-36.81236709260228,1,4,0,2,2,0
37,-42.53424422441738,0,80,0,1,1,0
76,31.925410151991514,0,15,0,6,2,0
62,34.12416377343517,1,71,1,10,1,0
13,-26.430374288066083,0,12,0,1,1,0
68,13.390670794947873,0,68,1,3,2,0
48,-28.04213881991189,1,93,1,1,3,1
77,35.076706790665284,1,63,0,9,3,0
49,13.323926651104266,0,67,0,9,1,1
15,-27.620474332340443,0,87,1,2,1,0
93,-45.10192008060043,0,15,0,8,1,1
41,-6.719277817199533,1,45,1,9,2,1
20,-28.528188084424563,0,59,1,9,3,1
26,2.5196973494982657,0,90,1,7,3,1
22,37.85356037989983,1,82,0,10,2,0
88,3.382102163426076,1,89,0,9,3,1
31,-31.702664542328016,0,92,0,2,3,1
72,-10.38300760848933,0,41,1,3,2,0
17,24.360365500052552,1,91,1,7,3,0
91,-19.848032025560673,1,41,1,10,1,0
80,31.022191237396527,0,22,1,7,1,0
25,37.56496447358393,0,22,0,3,1,0
62,33.64473413967468,0,24,0,4,2,0
33,35.69699656417822,0,56,0,5,2,0
33,4.6277332378011735,1,9,1,2,2,0
89,-30.763993512547525,0,76,1,5,3,1
28,2.083024482194503,1,66,0,4,2,0
27,7.21940604579612,0,83,1,4,2,1
29,-7.507178902731859,1,87,1,9,1,1
52,-14.817770010823878,1,71,1,7,1,0
47,33.42880620223579,0,38,0,8,2,1
14,-12.087137308667778,0,44,0,5,2,0
73,-36.485901181881836,0,78,1,6,3,1
99,15.867596543179019,1,76,0,4,3,0
34,12.60955625414205,1,97,1,1,3,1
48,14.2492427968144,0,47,1,7,3,1
12,-23.83509120639028,1,43,1,4,3,1
87,0.3980691482994203,1,90,1,4,3,1
29,-11.528821173767803,1,27,0,1,2,0
89,-25.760912909348008,1,89,0,1,2,1
88,33.85984647794133,1,86,0,5,2,1
24,-43.306827962598284,1,79,1,2,1,1
84,20.782158367967085,1,11,0,1,2,0
35,-37.259766379873675,1,57,1,3,2,0
7,21.15912674361482,1,88,0,7,3,1
49,-10.37245578435487,1,26,1,6,3,0
16,26.78277939658986,1,14,1,3,3,0
55,8.699487178644603,0,82,0,10,2,0
9,-27.6238434491638,0,44,0,9,3,0
32,-44.13834406663224,1,96,1,4,2,0
12,-39.138078164641726,1,8,0,3,1,1
90,-2.065587632975223,1,23,0,5,1,0
99,-46.714552165129234,1,28,0,10,3,0
22,20.268803711635826,0,51,1,2,1,1
86,-36.927119456900385,1,0,1,1,1,0
46,29.771180954398105,1,38,0,4,1,1
14,30.390538709391635,0,79,1,7,1,0
59,23.474114186031628,0,37,0,4,1,0
51,-39.299201473329816,1,6,0,10,2,0
42,30.10747117202969,0,2,0,4,1,0
71,-12.343720262554683,1,19,1,2,1,1
47,29.856153550669347,1,59,1,3,1,1
85,1.96009571725304,0,40,0,8,2,1
62,-35.35542616357276,0,85,1,7,1,1
58,-33.11068716840515,0,53,0,4,1,0
57,-26.083307685917383,0,67,1,8,1,1
46,37.44593516054569,0,83,0,4,2,1
36,-38.76876913479137,1,55,1,9,1,1
69,-11.16217946364138,0,7,0,1,2,0
73,-22.04205316028277,1,5,1,1,3,0
45,-23.36069593244025,0,29,0,8,1,1
84,-11.42026935995824,0,70,0,5,2,0
13,-22.53222699580635,1,66,1,10,2,1
99,-29.59858466472387,0,4,1,3,3,0
49,30.99462183634853,0,47,0,9,3,1
54,6.858842563713274,1,47,0,6,2,0
3,-38.1755458027313,0,20,1,6,2,1
14,27.55989964557213,0,21,0,10,3,1
48,-18.399368692444533,0,90,1,8,3,1
19,39.35429816045229,1,37,0,4,3,0
50,11.598828348693303,0,27,0,9,1,0
94,-37.73909851622254,0,61,1,1,1,1
12,-32.02119131618064,0,44,1,7,2,1
89,20.031069311895294,1,95,0,6,3,1
33,2.5081103758546703,1,27,0,1,2,0
10,16.144727529227524,1,61,0,3,1,1
63,11.065055651886162,0,56,1,5,2,1
40,-9.427533986854243,1,39,0,2,1,0
66,9.627610238968416,0,92,1,6,1,1
23,26.036744455251352,0,50,1,3,2,1
23,31.399889187872304,0,60,1,4,1,1
27,-3.0924302506455845,0,51,0,4,1,0
27,29.194967838298,0,77,0,9,3,0
90,28.135556529724283,0,12,0,4,3,1
14,-6.999854396401766,1,40,1,6,3,0
69,13.345420195460306,1,54,1,1,3,1
39,-1.0748294991635063,0,92,1,10,3,0
61,33.09396237875383,1,41,1,6,3,0
50,5.281233810847958,0,38,1,1,2,1
54,-2.6499111235991464,0,93,0,4,1,1
46,-1.1701272859008682,1,54,1,4,2,0
31,13.985197337914002,0,87,1,10,1,1
53,14.43422879889141,1,31,0,10,3,0
5,-34.44241002402007,0,64,1,2,1,0
15,8.949189890505394,0,66,1,9,2,0
69,25.99453771105327,0,61,0,9,2,1
94,-30.914212664683546,0,67,0,3,2,0
97,16.106528076271758,0,39,1,1,1,1
82,22.677577573584628,1,27,1,5,2,1
91,36.39836281173345,1,8,1,5,1,0
32,25.023466007279026,0,76,1,3,2,0
88,-48.166896134260384,0,34,1,8,2,0
88,-33.494537608015605,0,87,0,10,3,1
53,-38.6356133644077,1,27,1,7,1,0
68,-17.32884239987883,1,42,0,2,1,0
92,-48.48480293064366,0,11,1,10,1,0
11,-33.12332451531116,1,92,1,10,3,0
10,16.32625941664007,0,45,1,7,1,1
9,33.8540881383491,1,23,1,6,3,1
21,36.86322330936922,0,87,1,7,1,1
4,-3.102764179380763,1,37,0,8,1,1
30,-28.238600556432583,0,85,0,4,2,1
24,-29.321368242571086,1,77,1,5,1,0
52,-21.02753050573613,0,43,1,4,3,1
64,-34.54987961340133,0,40,0,9,2,0
31,-35.87217641890756,0,10,1,1,3,1
1,-18.27719380791038,0,33,1,7,1,1
73,3.617593729681694,0,31,0,4,2,0
22,3.419455130274116,1,36,0,2,1,0
95,-12.57060229600539,0,75,0,2,2,0
36,-49.989215633113375,0,90,0,9,1,1
86,28.524484236392368,1,91,0,2,2,0
87,19.9087043430076,0,47,0,1,1,1
71,-5.924540601475584,0,21,0,2,2,0
72,17.7355510245104,1,42,0,3,3,1
54,-16.47434188247498,1,100,1,3,1,0
70,5.062943053008574,1,16,0,9,2,0
41,-32.31519981154016,1,12,1,10,1,1
35,-40.43032996660148,1,28,0,2,2,1
2,-22.32360235081811,1,92,1,7,1,0
55,-25.821530240088737,0,37,0,3,3,1
17,-13.54374576133587,1,47,0,1,3,0
76,-12.185683545567045,0,43,1,3,3,0
44,-36.05651241477179,1,7,1,9,3,1
68,13.035506622246771,1,10,0,1,1,0
18,-16.03318611486071,0,100,0,6,3,0
38,-44.31782323676393,0,20,1,5,3,1
7,-12.387333567098935,0,78,1,4,2,1
52,11.389211978203576,1,15,0,9,3,1
19,-18.092013488242998,0,92,1,1,3,1
7,-3.5126371394648928,1,10,0,3,2,0
61,32.154262070501815,0,54,1,7,2,0
49,18.380339323993937,1,51,0,9,3,0
52,20.58940027757258,0,19,1,2,1,0
54,4.601301176253273,0,81,0,1,3,1
54,6.242177740208788,1,26,0,1,1,1
4,24.897486967005023,0,96,0,6,3,0
70,33.88460485530882,1,97,0,7,2,1
16,-9.028290902913504,1,46,0,1,3,0
22,-25.11818059073604,1,33,0,3,1,0
87,4.439643081457582,0,42,1,2,1,1
43,-42.943093290088854,1,92,0,5,1,1
56,-23.647373141203484,0,94,0,2,3,0
10,-18.31954927003468,1,6,0,3,2,0
53,25.193889643881135,0,32,1,5,1,0
27,-45.99175978484266,1,1,1,1,1,0
38,-36.36393800419439,0,44,1,8,2,0
43,-46.35529669069884,1,55,0,6,2,1
67,-16.0277138862387,0,48,0,6,2,0
20,-35.62946412475985,0,81,1,8,2,0
2,4.489765231039975,1,96,1,10,1,0
53,11.919186688058232,0,59,0,1,2,0
57,2.1534527503664265,1,46,0,7,3,1
1,18.480863755058976,1,89,1,6,3,0
55,-49.50851547781696,0,71,0,6,2,0
66,-42.13568816369984,0,66,1,9,2,1
34,-38.20082400028769,1,49,0,2,3,0
18,-37.059887139335174,1,48,0,6,2,0
47,-0.07634516514273315,0,89,0,5,2,0
40,14.040946726095143,0,13,1,5,1,1
12,23.222105107804296,1,96,1,10,3,0
60,-16.6057987557976,1,16,1,8,2,1
74,-2.4106882258901834,0,31,1,7,1,1
84,-25.140470978275836,1,52,1,6,1,1
36,-6.4159781435444785,0,92,1,8,1,1
80,27.475633661168914,1,59,0,9,3,0
20,-18.71482364190862,0,73,1,7,3,1
42,-10.43409063547739,0,8,0,5,3,0
41,-47.645182140932185,1,53,0,3,1,0
52,36.47918046106143,1,97,0,5,1,1
43,39.52958940318966,1,45,0,7,1,1
69,34.048408618155534,1,69,1,9,2,1
23,5.8561761586371475,1,45,1,9,1,1
97,15.079359120754816,0,37,0,10,1,1
37,37.55328927128015,1,86,0,7,2,1
72,-18.175660871712996,1,15,1,5,2,0
10,31.31319591423832,1,57,0,4,2,0
36,-12.344042982641504,0,77,0,1,1,0
57,-18.576832469477512,1,85,0,3,1,0
55,-28.22640714446614,0,78,0,10,2,1
12,-32.62826923622052,1,40,1,2,3,0
97,-27.813816382071966,0,20,1,4,1,0
79,30.458370572908834,1,44,1,8,3,1
5,23.47654242146075,1,63,1,4,1,0
67,-41.36068040435109,0,21,0,8,1,1
27,34.39735519252042,0,55,1,3,3,1
51,-23.01265992027686,0,78,1,9,1,1
54,-16.18000419380636,1,37,1,7,3,1
24,35.60874831634629,0,16,1,8,1,1
30,-3.9049535030229308,1,70,0,8,1,0
60,-49.65235948788282,1,46,1,7,2,1
67,-11.106613169656455,1,83,1,6,1,0
63,-19.2990281662441,0,41,1,3,1,0
13,-28.574399883983876,0,63,1,1,3,1
82,-17.515813087545695,1,0,0,5,3,0
10,-30.94979395769739,1,91,1,9,1,0
55,3.8440647176619365,1,72,1,4,1,0
67,-27.302093518336097,0,34,0,9,1,1
67,-12.291924966423565,0,87,1,1,2,1
67,-48.49368034569712,1,32,0,10,1,1
28,-6.976231125790314,0,5,0,5,3,0
29,19.260044986479954,0,87,1,6,2,1
20,-45.65524850367091,1,25,0,8,3,0
41,14.56326726112195,0,59,1,4,3,1
7,-49.91275051825131,0,58,0,10,1,1
38,0.9911276254450385,0,65,0,7,1,0
66,12.20075602010585,1,66,1,9,1,0
56,-32.94436154500708,0,96,0,10,2,0
87,-31.975747508664778,1,32,1,4,3,1
16,-0.36576740700076726,1,23,1,10,3,0
87,-23.614269197375013,1,95,1,8,3,0
23,7.244815670529405,0,98,1,1,3,1
87,-27.973083450770915,1,0,1,3,2,0
31,10.00181645559993,0,37,0,7,2,1
38,-38.16873093821593,1,10,1,10,2,1
29,33.582997583864014,0,76,1,4,3,0
3,0.4902954641417452,1,27,1,5,2,0
95,-3.8977755138287336,0,72,0,4,2,0
72,-12.048576686959542,1,47,0,5,1,1
28,-30.841490167060616,1,63,1,4,2,0
71,-17.517438680960403,1,44,0,4,3,1
24,25.465913133199734,1,64,1,7,1,0
86,-37.44153038852516,1,25,0,6,3,1
21,28.514042890100725,0,55,1,2,3,1
5,30.30943800728747,1,7,1,6,1,1
99,35.60007565842555,1,59,0,8,2,1
32,-24.075410771468952,1,85,0,10,1,0
11,-5.913928287598495,1,70,0,2,2,0
16,-47.528355685949414,0,45,0,4,3,1
82,5.740587639870881,1,41,1,4,2,1
46,25.27199790722068,0,93,1,1,1,1
30,-25.954809312432623,0,93,1,3,3,0
10,-23.728826519860082,0,31,0,10,1,1
93,3.8334146701849505,1,76,0,7,1,0
49,-37.99351723546848,0,24,1,6,2,0
88,27.43950302761496,0,44,1,4,1,0
52,-13.452273819445146,0,20,0,8,3,1
