hum,tem,is_gas,per_con,is_metal,mach_cat,meth_cat,time
29,-38.220376010566596,1,21,0,3,1,1
5,-18.721841840227018,0,89,1,3,3,5
91,-29.38481740236188,0,58,1,3,3,4
48,-43.22343613739557,0,84,0,3,3,5
10,-2.5062681677693064,0,30,1,3,2,5
28,-11.792351179582518,0,73,0,3,1,4
79,17.16326224838778,1,28,0,1,2,5
52,-24.173930149391385,1,50,1,2,2,1
44,17.105427983287086,0,81,0,2,2,3
73,-42.455258357755284,1,26,1,2,1,4
33,-38.12794071542868,0,69,1,2,3,1
42,-40.90979581474054,0,78,1,3,3,5
83,-21.871290085083608,1,71,0,3,3,4
56,18.395396544978198,1,100,0,1,1,1
63,22.575433085397265,0,40,1,1,2,5
36,12.806025067705434,1,96,1,1,2,5
27,-8.932258296272572,0,5,0,3,3,2
38,-5.420379466459828,0,91,0,3,3,4
68,-20.071709546874988,0,85,1,1,2,3
54,-32.391198450124435,0,85,0,1,3,1
42,-39.08256614836085,0,86,1,2,1,4
39,-23.58934614595151,0,12,0,2,3,4
15,-13.79970703516252,0,29,1,1,3,1
54,3.8822475931176896,0,85,0,3,2,4
95,13.38440277508203,0,4,1,3,3,4
59,30.116171341955564,1,23,1,2,2,5
10,25.303807144618233,1,40,1,1,3,4
70,-24.901930811653305,0,87,1,3,2,5
34,-30.251191302015755,1,51,0,1,2,5
45,-16.62902055964387,0,85,1,1,2,5
80,17.87726454482892,0,43,0,2,2,5
5,14.472671181065039,0,42,0,1,3,4
53,-25.12251718234773,0,88,1,3,3,4
88,-5.1701803529023564,0,6,0,2,1,1
58,-44.00702003634224,0,51,1,3,2,5
59,8.646543727569089,0,61,0,2,2,3
97,0.5393219449774449,1,96,0,1,1,3
44,26.377081061872232,0,67,0,2,2,2
56,39.12013319691829,0,65,1,3,2,1
56,9.083459363520866,0,43,0,3,1,5
49,-43.08773552071877,0,42,0,1,1,2
0,9.478758551082542,1,13,0,3,1,3
38,-18.765641054133315,0,92,0,1,3,4
38,-9.785544818156083,1,47,1,3,2,3
44,1.520170527151727,1,76,1,2,3,3
20,5.757782360291486,1,55,1,2,3,1
40,-0.39792725087715297,0,8,1,1,2,4
33,35.80216223087028,1,65,1,2,2,4
51,-14.292663353835117,1,88,1,1,1,2
98,-33.960064343994304,1,79,1,3,3,4
50,-25.559547188132928,0,80,0,3,2,5
19,37.61264695134082,0,2,0,1,2,3
6,25.341199466185174,0,38,1,3,3,2
43,13.905100596444605,0,74,1,1,3,4
0,-38.02637013623015,1,62,1,1,3,2
18,-47.49035689840753,1,90,0,2,3,5
35,25.254177730963804,0,59,1,3,1,5
56,32.021622968847026,0,94,1,3,3,2
25,-43.89693423689221,1,91,0,2,2,1
89,31.392023215024437,1,45,0,1,1,5
39,-6.300265891328955,1,35,1,1,3,1
97,-36.41146173792556,0,80,1,3,2,5
50,-37.509259091791606,0,0,0,1,2,2
26,2.8765607746138215,1,42,1,1,3,5
8,13.089769767307793,1,12,0,2,1,2
51,22.016190988402798,0,96,1,1,1,2
19,35.16374175711036,0,33,1,2,2,5
75,22.894513121637928,0,18,1,3,2,4
90,-43.57560089585937,1,98,1,2,3,2
93,23.132363670258215,0,33,1,1,1,4
57,22.614018993848077,0,73,1,2,3,2
4,19.101504391814387,1,44,0,2,2,2
52,4.334600002329871,1,78,1,1,3,4
62,-25.81518301381892,0,49,1,2,1,2
10,-7.5211138602533225,0,16,1,3,3,1
55,36.24774107409797,1,81,0,2,2,2
91,-21.65778232836668,1,82,0,3,3,2
32,13.910265809650255,0,17,0,3,1,3
6,26.337382556975015,0,66,1,3,1,3
43,5.705500320059826,0,82,0,2,2,3
8,30.680681246105593,0,100,1,1,2,5
60,19.794607639708687,1,58,1,2,3,3
40,26.088781218000534,1,82,0,1,1,1
27,34.19044461777547,1,56,0,3,3,3
71,1.337353558636984,0,81,0,3,3,1
30,1.0118271216195254,1,17,0,2,1,2
58,2.103790904224951,0,86,1,3,3,3
67,27.942551444404558,1,40,1,1,1,4
22,-35.060903049649994,0,0,0,1,2,1
2,-43.04830935133166,0,25,1,3,2,2
3,-18.518976085099506,0,23,1,1,3,1
71,-40.84027302554308,1,53,0,3,2,3
4,-46.095719862745284,1,88,0,1,1,1
46,-47.77150005291866,1,17,0,2,2,1
72,30.39428083266189,0,29,0,3,1,4
33,-1.1018935995235566,1,44,0,3,2,5
17,-2.2125892164042895,1,63,0,1,2,3
14,22.77553184700723,1,45,0,3,1,1
10,7.6453532164441995,0,81,1,2,1,2
65,-38.830869970674144,0,48,0,3,1,1
69,-47.765808031279995,0,59,1,3,3,1
33,-15.612026031185174,1,11,0,3,3,4
10,37.89201357914743,0,64,0,1,1,5
12,-17.1249538809977,0,20,1,3,2,2
22,-10.688282808981953,1,92,0,2,3,4
29,7.090504000844234,0,18,1,3,2,3
18,23.586446132825102,0,74,0,2,1,5
7,23.422469342729286,1,61,0,1,2,4
45,-42.6046647713466,1,16,0,1,2,2
44,-15.908348668320613,1,42,0,2,2,4
46,9.55410413481686,0,65,0,1,1,1
26,26.13883465689021,0,96,0,2,3,4
19,-1.369533984819462,0,38,1,1,2,3
33,-27.506835751288843,0,35,0,3,2,3
41,19.066519756574422,0,91,0,3,1,1
46,-47.567622427029704,1,9,1,3,1,3
39,-34.43694469094059,0,2,0,1,1,4
15,-7.0428177623814605,1,4,0,1,3,3
93,29.301364095829655,1,57,0,1,2,3
23,-9.601271296340428,1,50,0,3,1,3
22,32.39171451131361,1,9,0,2,1,4
11,34.131919662723845,1,59,1,1,3,3
61,-28.776436901364544,1,84,1,3,1,4
21,-11.412491017564804,1,8,1,2,3,1
39,-28.75692777088763,1,27,0,3,1,4
29,-38.35845743575037,0,49,1,2,2,2
27,-10.234542705163953,1,63,0,1,3,3
68,24.88183440020623,1,69,0,1,3,3
36,25.06471084824473,0,99,1,2,1,1
40,-47.99299746969191,0,3,1,3,2,5
58,6.021646403482237,1,26,0,3,1,1
91,20.887857443098383,0,22,0,1,1,4
21,-27.47786754061056,1,89,0,1,2,2
72,-34.318714872625435,1,87,1,2,2,5
77,8.756284279444763,1,28,1,1,3,1
57,-27.587547811885415,1,22,0,1,1,2
71,-33.532603046962635,1,32,0,2,1,2
46,39.32952987496209,1,96,0,3,1,1
55,34.39025315413342,1,78,0,3,1,1
86,-43.882817454251786,0,32,0,2,2,2
98,-32.57699985314327,0,84,0,2,3,2
11,-49.82417634325055,1,86,1,2,1,1
86,-11.662192415839108,0,76,1,2,1,2
78,-49.055115767069964,1,98,1,2,2,2
13,15.000398916857321,1,53,1,1,2,4
2,-29.17964714942148,0,38,0,2,1,2
88,12.55194004147009,0,57,0,3,3,2
22,-42.97314635640106,0,23,0,3,3,5
87,-17.449332355615198,1,56,1,1,2,3
18,-49.8908106821983,1,8,0,3,3,1
16,-21.52406688339398,1,96,0,1,1,3
72,39.043548913922436,0,39,1,1,3,5
15,-18.06283611923386,1,17,1,1,1,1
60,-45.801370127795224,0,56,1,3,2,5
40,-26.36608794120666,1,71,1,3,3,1
20,6.707454270767421,1,64,1,3,2,2
23,-20.364263376133625,0,17,1,2,3,2
17,-16.888048303753877,0,64,0,1,1,3
18,33.614481679635276,1,74,1,1,1,4
31,-42.735249290837004,1,65,0,2,2,4
68,-2.991063507518632,1,80,0,2,3,2
87,-29.966969606730704,0,72,0,2,3,2
4,-44.516462652877635,1,3,0,2,2,4
90,-14.2163092961611,0,90,1,3,3,3
22,9.409334645400612,0,38,1,1,3,2
40,19.780126590756822,1,15,1,2,1,4
24,-9.555378339157357,0,2,1,3,2,2
76,34.280550705381245,0,20,1,3,3,2
8,-24.569180208225795,1,48,0,2,2,1
21,2.357283281974702,0,79,1,3,2,4
50,-35.942934021984726,0,68,0,2,3,2
6,11.802500714846097,1,33,0,1,2,4
38,-21.95961483579223,0,69,0,3,1,5
1,38.51580633083344,0,78,1,3,3,2
42,-18.794877317050705,0,24,1,2,3,1
87,24.47128029043617,0,3,1,3,3,2
6,-23.72958901798805,0,60,1,1,2,1
50,-24.034733622592512,0,87,1,3,3,4
77,-37.323764776039894,0,66,1,2,2,4
43,-48.975977880289925,0,85,0,2,2,5
86,-1.9650189261861613,0,99,1,3,1,5
42,7.059254435140389,0,11,1,2,2,1
1,17.103988616639953,0,22,1,2,2,3
33,-24.390405193669466,1,48,1,2,1,4
47,-30.955250888169143,0,81,1,1,2,3
54,-2.365140637166334,1,42,0,3,3,5
45,-8.416994908734821,0,61,1,2,2,3
1,-21.131443845674927,0,21,1,1,3,4
65,25.25277928727263,0,87,1,1,2,1
11,-5.4785789183416895,1,96,1,3,2,4
52,-11.564900315492203,1,87,1,3,3,5
3,-23.60397479172144,0,11,1,2,2,5
79,-46.705127732203664,0,6,1,3,1,4
19,7.81191034603161,1,57,0,3,1,2
26,34.09833586100024,0,24,0,2,2,3
77,2.1558006981540814,0,70,1,1,1,3
78,38.93776918545596,1,34,1,2,3,3
70,19.59765856147048,1,16,1,1,2,3
51,-33.39635595939993,0,0,1,1,1,5
39,-48.15702864142887,1,51,1,3,3,5
92,20.844633691390115,0,49,0,3,3,1
66,-11.174264861763348,1,39,0,1,3,4
30,-1.875806407017265,0,74,1,2,1,5
22,-42.94212852005091,1,61,1,1,2,5
80,-31.030116268259274,1,98,1,3,3,4
11,-38.19894652354307,1,65,0,1,3,1
57,-3.798264329315984,1,80,1,3,2,4
50,-34.63375437641492,1,23,0,1,2,1
82,25.167943482666317,0,91,0,1,3,4
78,-34.70327328689212,0,51,0,3,2,5
35,24.64759371753749,0,90,1,3,1,5
33,-20.584356266780123,1,62,0,1,1,5
96,28.454540414018766,1,12,0,3,3,1
56,16.499592690850207,1,75,1,3,2,1
82,-49.23229045418245,0,82,0,1,2,2
73,9.881765610519686,0,19,0,2,2,4
43,-13.74278299857967,0,76,1,1,1,1
42,-26.767731526455286,1,73,1,1,2,5
51,26.585159444881896,1,44,0,3,3,1
3,12.40215855668228,1,71,1,3,1,2
67,-36.4013441184745,0,57,0,2,1,2
93,-14.318528510490523,1,84,0,3,2,2
25,-26.493793061527207,0,67,1,3,1,1
43,-30.201986020937596,0,1,0,2,2,2
57,-37.6869201357933,0,92,0,3,3,3
63,15.909585913825211,0,61,0,1,1,1
25,-33.20998926963679,1,84,1,1,3,5
59,25.140235814734254,0,40,1,2,3,2
3,27.231529538651074,0,31,1,2,1,4
93,-13.897639788783927,1,84,1,1,1,1
6,-2.7762973428568785,1,86,0,3,2,3
75,-40.64989075331586,0,7,0,1,2,5
4,11.82229703353228,1,25,1,3,2,4
36,21.9906039410877,0,93,1,2,3,1
25,-31.613838486543255,1,32,1,3,2,3
69,14.552535660503338,1,42,0,1,2,1
98,19.630770253813992,0,41,1,3,1,3
22,-1.0598052377866196,1,16,0,3,2,1
9,-45.107165340361945,0,68,0,3,3,5
64,15.696696853860047,0,42,1,2,3,2
66,-36.391493586931944,1,5,0,3,2,4
46,19.4458722128675,0,56,1,3,2,2
52,39.22414285870771,1,72,1,3,3,1
20,-42.75749395937176,0,28,0,2,3,2
16,-33.41188570044781,1,36,0,1,1,1
18,-31.565767593772556,1,43,0,2,2,5
40,35.448205979730545,1,52,0,2,2,4
35,-9.792002798062768,1,46,0,2,1,2
28,-6.876384925769003,1,62,1,3,3,5
61,33.55898752224758,0,59,1,1,1,3
91,-11.417644726917779,0,61,1,2,1,1
52,3.1786636854690684,1,78,1,3,2,1
85,-15.24435669062786,0,86,0,1,2,1
66,22.92156917325903,0,12,0,2,1,4
12,26.42155435691498,1,81,1,1,2,2
64,5.223359952814732,1,91,0,3,3,4
68,-4.156804300364968,0,92,0,3,3,5
24,-24.17818263137671,0,31,0,1,3,1
11,-39.762094678147285,1,17,1,3,3,1
71,-40.38738445958813,0,65,0,3,1,1
1,4.308390678573737,0,25,1,1,1,3
49,14.267955820220848,0,31,1,1,2,4
95,-2.7541928779838614,0,49,1,1,2,3
81,-0.6359812906120297,0,40,1,3,2,2
27,-47.57436872100342,1,38,1,1,1,2
82,18.19066533934729,0,96,0,3,3,4
75,-35.90112039659119,0,99,1,3,3,2
78,15.925058608237663,1,20,1,2,1,2
67,-32.71031008592131,0,5,1,3,2,3
7,39.251841828055106,1,21,0,3,3,1
48,8.191716551314002,1,62,0,1,3,5
54,-33.16427531944684,1,14,1,2,1,5
29,-3.1960723763702816,0,54,0,3,2,4
35,17.455484834904325,0,24,0,1,1,1
58,5.7354130191329205,1,66,1,3,1,5
99,-25.2059450572724,1,86,0,3,2,5
23,21.588324985001066,0,53,0,2,1,1
67,-28.158295778827803,0,15,0,3,1,1
57,-33.18313223140994,0,65,1,2,1,2
55,-42.41176968728663,0,90,0,3,2,5
33,39.552500990507625,1,44,0,1,2,5
50,-0.07145369481142438,0,75,0,2,1,2
83,-8.698427939877263,1,88,0,2,3,2
43,-31.434547222340942,0,93,1,3,3,3
11,-4.218021088234963,1,23,0,1,1,5
83,-32.48703500432984,0,87,1,3,3,1
9,20.699392646533624,1,83,0,3,1,4
28,4.301836361485968,1,23,1,3,2,2
88,-5.385294029554686,1,58,0,3,2,2
80,27.167004572057408,0,19,0,2,1,4
67,-33.22986225661663,0,5,0,2,1,4
38,-49.58056370829648,0,35,0,2,1,3
7,-30.48288829419394,1,76,0,2,1,5
50,-33.50490072483729,0,75,1,2,3,1
9,-19.974431057591527,0,11,1,1,3,3
83,-13.610928255169263,0,94,1,1,1,3
71,-10.880639959744379,1,26,0,1,1,4
13,-14.726682603080064,0,8,1,3,1,4
100,14.484395669640818,1,84,0,2,1,3
59,13.27122444124528,1,100,1,2,1,4
42,27.273792011987283,1,72,1,2,3,4
75,13.349960912372218,1,93,1,3,1,5
26,20.741581363307773,0,75,1,2,1,5
89,15.294453142986455,1,70,0,3,2,5
8,-6.4638593351671645,0,57,0,1,1,5
77,9.77244645085414,0,5,1,2,3,1
46,-4.182889017210577,1,9,1,3,3,3
92,-13.792190889657157,0,65,0,2,1,1
22,-10.98732226644966,1,35,0,1,3,2
28,31.190510518547512,1,66,0,3,2,5
45,11.940193167980745,0,43,1,2,3,1
67,29.244784822974452,0,60,1,2,2,2
0,37.190137737284005,1,68,0,2,3,5
7,29.0892768627547,0,75,0,3,3,1
19,2.492033368246247,1,50,0,2,1,3
85,29.48431118888162,1,64,1,3,3,3
87,0.2959045877361106,0,33,1,3,1,4
4,-1.0054365797239413,1,77,0,3,2,5
95,8.357281229693157,0,58,1,2,3,2
73,-1.699153085833494,0,3,0,2,1,2
34,7.217933979284922,1,71,0,1,3,3
89,26.74336665163476,1,34,0,1,2,4
6,10.43161450999942,1,93,1,2,3,5
76,14.560872899589839,1,54,1,1,3,3
86,-34.377535159137906,0,45,0,2,3,1
13,3.883955419480479,0,97,1,3,3,2
46,36.102062943042895,0,43,0,3,1,3
32,37.81485590706396,1,33,1,3,3,5
69,23.203580750905175,0,31,0,3,3,3
16,-36.902179985400196,1,30,1,3,3,2
23,-42.17133828714712,0,45,1,1,3,4
11,-49.458953946178106,0,89,1,3,1,5
69,-49.38017238953773,0,38,0,3,1,3
10,0.5563368178470682,1,46,1,2,3,2
65,-19.238274013381155,1,16,0,3,2,5
85,34.45215390969439,0,36,0,1,2,1
3,-3.6815876551293627,1,77,0,3,3,4
59,27.641921406106547,1,8,1,2,1,2
20,13.790292543686043,1,47,0,1,2,1
15,30.00512068633975,0,35,0,2,3,2
26,34.64791759075993,1,75,0,2,2,3
52,-18.010426695021923,0,93,1,3,3,4
50,-15.848256893546221,0,66,1,1,2,3
26,16.170781083531907,0,52,1,1,2,4
79,-44.281298957519446,1,96,1,3,2,5
90,5.7030923716624145,0,25,0,3,3,3
8,-9.195622458744644,0,38,1,1,1,1
29,32.67080275470764,0,33,1,2,2,2
69,-42.80573670781589,1,9,0,1,1,5
99,-7.652104571252565,1,14,0,1,1,5
9,-13.939180442965664,0,21,0,2,2,4
33,12.78453413435929,1,73,1,1,3,5
87,-15.736024259808552,1,40,0,1,1,2
25,5.3448339027381095,1,31,1,3,3,2
14,26.643292904547167,0,40,1,2,1,2
83,27.85015741577915,0,99,0,1,1,4
42,11.631169171443922,1,56,1,2,2,3
98,12.023268200987431,1,8,0,1,2,4
68,12.381316976291899,1,57,1,2,1,3
24,20.313261246256957,1,7,1,1,2,3
88,-35.56724651324824,1,26,0,1,1,1
64,31.081822313624173,1,24,0,1,3,2
75,16.491286590726233,1,100,1,2,3,3
89,17.84682115373836,0,43,0,2,2,5
67,-1.9884749507136519,1,48,0,1,3,3
96,-2.4272628732346107,0,24,1,3,3,4
95,6.1321807806710495,0,73,0,3,1,3
37,7.394743014232169,1,27,1,1,2,3
61,15.134427617767727,0,4,0,2,3,3
47,-4.041343509764914,0,37,1,3,2,4
26,29.644468080425085,0,19,1,1,3,4
91,-36.30244773528919,0,83,0,1,3,5
56,-26.239366264162342,1,43,0,3,2,3
62,-48.86424110674759,0,90,0,1,1,1
69,-41.18790099499816,1,95,0,3,2,3
100,-46.176522744463426,0,4,1,1,1,4
12,-43.893405982727714,0,2,0,3,1,4
76,1.4900181345787828,1,28,1,3,3,2
20,-39.723852292979714,0,98,1,3,1,1
51,-8.077552033429463,0,26,0,3,3,5
89,35.444773497282455,1,6,1,1,2,2
0,13.7386350043855,1,19,1,1,3,1
68,25.44250317736271,0,60,1,3,2,1
84,17.02022234317475,0,5,1,2,3,1
5,-4.585270992216145,1,84,1,1,1,5
47,11.706891592838744,1,65,0,1,2,5
31,-31.0877338434431,1,75,1,3,2,3
84,-14.242962874081542,1,98,0,1,2,4
24,-11.7386129774275,0,0,1,1,3,5
1,28.183385274106755,0,71,1,1,3,4
54,35.24840980228923,0,75,0,2,2,3
58,22.830561960759866,1,30,0,2,2,1
10,-29.672218698344576,1,71,0,3,3,2
54,30.848944477529642,0,11,1,3,1,4
41,10.424503898153823,1,60,0,1,3,3
15,-23.93353650682517,0,50,0,3,2,5
26,9.362294998677037,0,37,1,2,1,4
82,10.100381043433607,0,98,0,2,1,2
46,-22.7683516762983,1,76,0,3,3,4
36,-31.964036351189456,0,89,1,2,2,1
28,-8.996198560901497,0,76,0,1,3,5
28,-45.08277581416107,0,40,1,1,2,4
46,20.982942771880346,1,15,1,3,1,5
92,13.438742698794833,1,31,0,1,1,1
34,-1.0740933109297544,1,68,0,1,1,2
8,-29.998419521419173,0,25,0,3,3,4
6,-0.803599883037954,1,17,1,3,1,4
71,29.102032989505062,0,52,1,3,2,1
85,32.1232593647849,0,17,1,2,1,4
42,2.871740865222563,1,66,0,2,3,5
70,-9.396425784775268,1,43,1,1,1,4
84,36.40195909863479,1,66,0,1,2,2
42,27.637797892103436,0,30,0,2,3,3
65,14.743671400365045,0,95,0,1,2,3
70,-6.63798948340181,1,95,0,1,3,4
8,-37.2901143160131,1,65,1,2,1,1
97,-26.51106028212024,1,30,0,2,3,1
100,-16.602929400461775,0,57,1,1,1,2
11,-19.207102691189238,0,41,1,2,3,4
41,-49.54684536672714,1,24,0,3,1,1
81,-44.96997823512271,1,39,0,2,1,5
85,12.314030853258608,0,80,1,1,2,3
82,18.275615930647064,1,98,0,2,1,2
67,27.501892375388948,1,94,1,2,2,2
46,-13.665811377560473,1,0,0,2,1,3
58,-25.922552905828965,0,30,0,1,2,2
78,38.50130869623516,0,87,0,1,2,2
78,9.67490127268691,1,95,0,1,2,2
30,17.60200907759237,1,85,1,2,2,3
23,-0.36733541768831657,0,60,0,1,2,2
77,0.04205368642589491,1,14,0,2,2,3
89,-30.73438403271745,0,16,0,3,1,3
93,-20.55286529292403,1,64,0,1,2,3
56,-21.132720676214323,0,17,0,3,1,3
17,-3.4362761321134627,1,14,1,2,2,1
94,-47.043987081765074,0,68,0,1,1,5
66,-6.9598192416944045,0,77,0,1,1,2
31,-6.998743864275376,1,9,1,2,2,4
17,-38.2402053907976,0,89,1,2,3,5
78,0.6907615112357632,1,68,0,3,1,3
57,-49.59289834020093,1,1,1,1,2,1
33,15.033335687488702,1,3,1,3,3,3
69,-41.71718052148068,0,89,0,3,2,5
71,-24.136778321271628,0,92,0,3,2,2
99,-47.25131748500248,0,8,0,3,3,2
31,-47.83933314146089,1,18,0,2,2,2
66,39.72135851989135,0,77,0,1,3,1
0,-32.05996521396018,0,85,1,2,2,3
27,-23.274955835220386,1,36,1,2,1,1
62,-6.7722034910368905,1,41,0,1,3,1
26,-45.21755209542051,0,99,1,1,1,3
3,10.396089259298328,1,80,0,2,2,2
53,18.868867279481975,0,84,0,1,1,1
59,-37.56327055719384,0,88,1,1,3,5
36,1.0424532579065016,1,8,0,3,2,4
92,-20.93596171253,1,83,1,2,1,2
86,-0.5119573982359782,1,66,0,1,1,3
27,-2.912430587929414,1,0,0,1,3,1
71,-37.64514816863672,0,88,1,1,2,4
6,-44.863705494017054,0,85,0,3,3,1
98,22.594983125395245,1,20,1,1,2,2
30,-8.736079963572472,0,29,1,2,3,4
32,15.559880871038445,0,90,1,2,2,2
67,39.46386920494362,1,88,0,1,2,2
62,-23.613408405715603,1,91,1,2,3,4
6,-39.19412302896657,0,8,1,1,3,4
34,-5.484630135342208,0,40,1,3,2,3
87,-45.31893678378025,0,58,0,1,1,3
76,-36.18995050176967,1,95,0,3,3,2
35,1.8952747517693211,1,86,1,3,1,1
5,-18.89299841070906,0,2,1,2,2,3
17,17.291452317979775,0,99,0,2,1,1
46,27.415418250066224,0,42,1,3,1,1
39,4.946692093734001,1,0,0,1,2,5
46,14.199288918602875,1,11,1,2,1,3
58,12.82997913425374,1,94,0,1,2,4
31,12.940488141957395,1,100,0,2,2,4
65,0.787165001234591,0,11,1,1,2,5
52,39.74884256936164,1,3,1,2,3,5
73,-20.488769455969965,0,67,0,1,1,4
65,21.411254799069724,0,68,0,1,2,2
59,14.827786651519773,1,49,1,1,1,5
66,11.374015575913212,1,90,0,3,2,3
52,-30.170659840176764,1,47,0,1,2,1
46,-36.73172348430186,0,20,1,1,3,4
38,13.975935713172532,0,27,1,1,3,1
69,-8.881564544107867,0,10,0,3,2,4
71,15.694160777241962,1,19,1,2,1,4
55,25.185088799733208,0,10,1,3,1,4
63,8.983039774336454,0,86,0,1,1,1
68,-23.43457936778339,1,100,1,2,2,3
9,15.422509930990984,1,22,1,1,1,1
79,-10.962761691167778,0,48,0,3,2,3
14,0.002250279355678231,1,5,0,3,3,5
8,-22.326415360320404,0,59,0,3,3,1
87,-5.604332745023932,1,96,1,3,2,1
90,-45.96573518582848,0,42,0,3,3,1
8,34.542327235574376,1,19,0,2,1,4
44,-1.0307296912915476,0,52,0,2,1,3
97,22.10453153414447,0,15,1,2,2,3
60,-23.807699998222795,0,74,1,2,1,3
24,28.41787302409257,1,1,1,2,1,2
1,31.95387154631979,0,9,1,3,3,5
93,18.97617087753123,1,66,0,3,1,1
32,-26.330726979329434,0,1,1,1,2,4
5,-47.8079078426858,1,24,0,2,1,1
89,-34.29315406180455,1,14,1,1,1,2
82,-25.02090925853831,0,15,0,1,3,2
47,-40.569387970509105,1,7,1,2,2,3
47,-37.883564556299355,1,94,1,1,1,2
19,-21.541194799469356,0,3,0,3,1,1
17,22.653145240312696,0,71,0,1,2,5
65,-11.02569432094802,0,69,0,2,2,4
3,-5.512548328615999,1,30,1,2,3,4
38,-18.210491840433953,0,7,1,2,3,2
67,-28.3046141760514,0,15,0,3,1,5
4,33.00129289720279,0,45,1,3,2,4
13,-24.86992462069256,0,50,1,2,2,4
63,-11.64857899846347,1,20,1,2,3,5
31,-6.63638091086942,1,15,1,1,3,3
87,18.597727373494493,1,66,0,1,2,2
10,-19.447883687326524,1,34,0,2,1,5
33,30.744960595195963,0,32,0,1,2,4
21,-13.261669323888313,1,0,0,2,1,5
24,-47.22933147443999,1,92,1,3,1,5
97,3.08200713362028,1,93,0,2,1,2
14,5.90598750530323,1,84,1,2,1,1
78,-9.832773605573394,1,8,0,2,1,3
48,-5.617559980533088,0,53,1,3,2,4
8,-32.93947726453176,1,23,0,1,3,3
7,23.619137608610046,1,81,0,3,3,2
66,-11.265564915540729,0,46,1,3,1,2
87,33.08113513768082,1,77,0,2,3,5
62,6.516527953042619,1,50,0,2,1,1
89,-16.29647863448291,1,36,0,1,1,3
92,-23.148039114574175,1,83,1,2,3,1
17,-39.912316303796075,1,94,0,1,2,4
44,3.2590303472676396,0,81,0,3,3,2
87,-43.00898881147803,1,76,0,3,2,1
54,-15.487574726028825,0,97,0,1,2,4
75,-1.2907803438907024,1,40,1,3,1,5
34,36.30477411682128,0,7,0,3,2,1
32,34.783913668838736,1,79,1,2,3,1
58,-17.71642245793302,0,6,0,1,2,2
60,-7.044755950506357,0,44,1,3,1,4
25,35.00561400716521,1,47,1,1,3,2
21,-11.178529541770466,0,66,0,1,3,4
49,-2.9215764584000965,1,64,0,3,3,1
29,6.728341068599775,0,43,0,3,3,5
76,-49.16463180576916,0,59,0,3,2,1
2,-17.79470648767262,0,83,1,3,2,5
14,37.3430895572245,1,42,1,2,1,3
28,-12.111570807253074,0,91,1,2,2,3
76,33.808734880554425,0,74,1,3,2,1
74,-3.9500900999169914,0,61,0,1,2,4
30,-45.845678725055144,0,6,0,1,1,5
44,-5.263638694129938,0,93,0,2,3,3
58,34.29765058782803,1,12,1,1,2,2
99,16.59350606963916,0,2,0,1,3,2
72,13.840921955366952,1,80,1,2,3,4
78,-21.91350759891399,0,98,0,2,1,3
45,9.471146469845344,1,26,0,3,2,2
75,-28.577720961253387,0,35,0,3,3,4
67,10.028286785466328,0,15,0,3,3,4
87,-1.2445767667583496,0,2,0,3,3,2
3,-46.86413080979348,1,10,1,3,1,1
6,-11.825012499310134,1,9,1,1,3,1
4,-29.92684905535346,0,54,0,3,3,4
17,-35.86574909361251,0,24,0,3,2,5
30,6.7221893646319515,1,54,0,2,3,2
100,7.5286220490717,0,49,1,3,3,3
34,-5.3429409233447345,1,94,1,2,3,5
