born,start_work,dept,degree,prof,mach_cat,meth_cat,time
1962,1996,4,4,0.09182250623793309,3,1,5
1965,2003,2,2,0.8491488506608045,2,1,2
1995,2020,1,3,0.6382731888167551,3,1,4
1998,2020,1,3,0.8406569893344098,2,3,4
1963,1984,5,4,0.39268904937953053,2,2,5
1969,2006,4,4,0.8727813963411454,1,2,2
2001,2020,1,3,0.3058205689861888,1,1,3
1997,2020,1,1,0.6863953755930792,3,1,1
2000,2020,5,1,0.5205912845184218,3,1,3
1972,2004,1,3,0.33606563864281136,1,2,5
1993,2020,3,3,0.656173799042638,2,3,3
1978,2010,3,4,0.4694746763620784,2,2,2
1968,1987,4,3,0.9359098908472617,1,2,3
1995,2020,3,1,0.8689023671958906,3,1,1
1989,2020,5,4,0.5547328646863529,2,2,4
1975,1997,4,2,0.23291792883742035,2,2,3
1975,2002,2,1,0.26810820477507,2,1,5
1997,2020,4,1,0.2576785736322955,1,2,1
1963,2003,2,4,0.2862264616721907,2,1,4
1995,2020,2,4,0.230316919746274,3,3,1
1970,2010,2,3,0.967931193281101,1,2,1
2001,2020,5,2,0.7188042624756831,1,2,2
1983,2010,2,3,0.1384737047400647,2,3,2
1985,2008,5,4,0.7673895181034238,2,1,2
1995,2016,4,4,0.16310659967493368,2,1,3
1999,2020,4,3,0.7483398311682112,3,2,5
1973,1998,2,3,0.15489159422562038,3,3,2
1988,2020,2,2,0.19391190643025846,1,1,4
1976,2004,2,4,0.22458851193221152,2,2,3
1999,2019,1,4,0.9195366797730143,1,3,1
1974,2008,3,1,0.905579387087877,3,2,4
1999,2020,2,4,0.8027177383948477,2,2,4
1970,1991,1,2,0.3750315943713529,3,1,2
1967,1990,5,1,0.37196254265159856,2,1,3
1990,2020,4,3,0.19607282100710133,2,1,5
1996,2016,4,3,0.2697249917249154,2,1,1
1971,2011,5,1,0.0944517917667691,2,3,2
1992,2020,3,4,0.48649801689357575,3,3,3
1965,1997,2,4,0.3362726335038151,3,2,3
1973,1998,2,1,0.30944093511129944,2,3,5
1974,1995,4,2,0.33377866123447264,2,1,1
1990,2010,1,3,0.7981105531813829,1,2,1
1976,2007,1,2,0.14913157925340637,1,1,5
1967,1991,3,1,0.7412270368478501,3,1,5
1961,1990,1,3,0.5332867836943131,2,3,4
1981,2002,1,2,0.8325521574918265,1,3,3
1993,2020,3,3,0.2444261401397375,2,2,1
1984,2008,1,2,0.15043612085951497,3,2,2
1975,2002,1,4,0.12159051806224574,1,1,5
1967,1997,3,2,0.10381841403382419,1,3,2
1989,2020,5,1,0.37668384408723965,2,3,3
1988,2020,4,4,0.5146035315668169,1,2,1
1994,2020,2,4,0.3741839557098634,3,2,4
1982,2012,2,3,0.0372176003617577,1,1,1
1991,2020,5,3,0.5658234293101521,1,3,1
1966,1985,3,3,0.1390885457971167,3,3,5
1978,2012,4,1,0.5210465762479062,3,1,2
1960,1978,3,2,0.6367998332921689,1,3,3
1992,2020,1,1,0.9087083534323913,3,3,3
1965,1984,3,4,0.6284261040567067,1,1,2
1966,2002,3,4,0.6952162331423635,3,1,3
1973,2011,5,2,0.15259627761311556,3,2,4
1993,2013,1,4,0.30824718619005176,3,2,4
1961,1985,1,1,0.8874653331798624,2,1,4
1961,2000,4,1,0.21316340672419376,2,1,5
1986,2020,5,1,0.6872185486406693,1,2,1
1978,1996,1,2,0.015065253475352813,2,3,3
1972,1999,4,2,0.2151580482255251,3,2,4
1994,2015,3,1,0.42093897213837517,3,3,1
2001,2020,2,4,0.7748113268690887,3,3,2
1981,2014,1,1,0.869085068906244,2,2,4
1967,2005,3,1,0.15447403298286055,1,3,1
1974,1992,5,1,0.10348799213932791,3,2,3
1997,2020,4,4,0.06501076863865818,3,2,4
1986,2019,1,4,0.30652061576224787,3,3,5
1961,1990,4,2,0.39746760375722245,1,1,1
1989,2014,4,4,0.17552676378863163,3,2,2
1970,1994,5,4,0.31077329321229874,1,2,2
1960,1996,3,3,0.7573625321950765,1,2,2
1996,2018,5,4,0.7313747613602861,3,3,3
1989,2008,1,1,0.734682032437258,1,2,3
1994,2020,5,1,0.4546749148598822,1,1,3
2000,2020,1,2,0.4548875932228609,2,3,2
1984,2020,4,2,0.510829277343505,1,3,4
2002,2020,4,2,0.6218723190205628,2,2,1
1990,2020,4,2,0.2704791355384847,1,3,5
1985,2020,5,4,0.5254758228187109,3,1,1
1970,1992,2,3,0.21164845176709923,2,1,5
1999,2020,5,4,0.09758817242505269,2,2,3
1988,2014,4,4,0.6805022551576676,3,2,4
1998,2020,3,4,0.47842299269999555,1,2,3
2000,2020,5,1,0.4140188174183178,2,2,4
1966,1998,2,1,0.4379367531276336,1,2,5
1960,1990,5,3,0.40017154644422026,2,1,5
1964,1996,2,3,0.16212197337137313,3,2,3
1967,1995,4,4,0.5819750626074014,1,1,5
2000,2020,1,2,0.008068581808381547,2,1,5
1980,2018,1,4,0.9768478578934737,3,3,3
1989,2015,5,1,0.21385806359604576,3,1,5
1995,2015,2,2,0.6853430640088621,1,3,4
1986,2007,5,3,0.8339928976087181,1,2,3
1961,1981,3,2,0.9648141406748897,1,2,1
1999,2020,2,3,0.7960772428289966,3,2,1
1989,2020,3,2,0.46521576828007494,2,3,1
1981,2003,4,2,0.7554919728162482,2,3,1
1972,1994,3,1,0.33832562777735853,1,2,5
1998,2020,2,1,0.3080433897392809,2,3,2
1975,1999,2,4,0.542277451765613,3,2,1
1979,2019,2,2,0.16719856349609574,3,3,4
2001,2020,2,2,0.348761369187524,1,3,5
1978,2000,2,2,0.3035188975826272,1,2,3
1963,1984,3,3,0.7365794779800434,1,1,2
1984,2010,2,4,0.30710119849517004,3,3,2
1997,2019,1,1,0.8614308264204713,3,2,5
1965,1984,1,1,0.989781528981187,1,2,4
1991,2013,4,1,0.15986394702439366,1,1,2
1995,2020,1,2,0.8034218559647,2,1,5
1990,2014,3,4,0.3018664045009787,3,2,4
2000,2020,4,2,0.7334981911703248,1,1,3
1960,1979,1,2,0.7051612598612728,2,3,1
1978,1999,4,1,0.9035648588067123,3,2,2
1960,1998,1,1,0.10480759546477536,2,3,1
1992,2020,2,3,0.41623055143937426,2,2,5
1972,2001,4,3,0.7588998809693094,2,1,5
1965,1989,5,3,0.06278672542400443,1,1,4
1967,2007,2,4,0.16383752185713019,3,2,3
1986,2020,4,2,0.8540650942603346,1,3,1
2001,2020,1,2,0.04943242877698206,3,3,5
1972,2010,3,2,0.7283949585411437,1,1,4
1965,1994,5,3,0.37950970654735894,3,2,5
1995,2020,4,4,0.7671936582637773,3,3,2
1985,2016,5,2,0.7803951600974514,3,3,1
1976,2007,1,4,0.824690771999367,3,1,4
1963,2001,1,2,0.17255422431645118,3,2,4
1997,2017,1,4,0.35086264704844583,1,1,1
1992,2020,3,2,0.3255234037339585,1,1,4
1975,2006,3,2,0.4314966197896517,1,3,2
1973,2006,3,3,0.9286086608758302,1,2,4
1974,1999,3,4,0.9295189697189997,2,1,5
1962,1982,1,4,0.599999268342542,3,2,2
1981,2018,4,3,0.3149676336267391,2,2,3
2001,2020,1,2,0.2818182777123629,2,3,3
1993,2012,5,4,0.9244124137138369,3,3,1
1964,2002,3,1,0.5950079628073953,2,3,4
1977,2017,1,4,0.795214868072948,3,2,4
1970,2004,3,3,0.16215856724048516,1,2,4
1971,1991,4,2,0.4097288198638156,3,3,1
1960,1986,3,3,0.967431670502733,2,3,1
1979,2004,5,4,0.5543252002138236,2,1,1
2002,2020,4,1,0.09915169277729718,1,2,5
1967,1991,3,3,0.21666787171971624,1,3,4
1979,1998,2,3,0.627456667789018,2,1,4
1985,2007,5,1,0.523831734715409,1,3,1
1989,2007,1,2,0.5971062188039309,1,2,1
1992,2020,2,2,0.11722192018794397,3,2,2
1990,2014,2,2,0.06454800104964387,3,3,2
2001,2020,4,4,0.879818968967249,3,1,1
1965,1990,2,2,0.7652532566947956,1,3,4
1999,2020,2,3,0.5005949477456733,3,1,5
1991,2020,2,1,0.33306219320784314,3,1,2
1962,1986,1,1,0.8781176805376638,2,3,1
1981,2012,4,1,0.414360366587348,1,3,3
1990,2020,1,1,0.7679114210290748,3,3,1
1974,2011,4,2,0.8945706649818554,3,3,4
1974,1996,2,3,0.8828768721151617,2,1,1
1997,2020,2,4,0.10513293363683107,1,3,5
1991,2020,1,2,0.7274772748559946,3,1,1
1972,2012,4,2,0.49017440799935774,1,1,4
1967,1993,5,3,0.9036934129670178,1,1,3
1996,2020,4,2,0.47658874925138384,1,1,5
1962,1998,2,3,0.3631404745581308,1,1,1
1992,2020,1,2,0.6951687644797718,3,2,3
1964,1996,5,4,0.23773659443324247,2,2,1
1975,2007,2,1,0.627904085516671,2,1,3
1972,2008,2,3,0.2213221523182647,3,1,4
1970,2008,1,3,0.9639652453936396,2,2,1
1998,2020,1,1,0.2601713405438636,1,1,3
1968,1999,2,1,0.46876025569051394,1,3,2
1990,2020,5,4,0.290216632456303,1,2,3
2000,2020,2,3,0.8533533451809562,3,1,2
1985,2015,1,1,0.4931778454485213,1,3,2
1981,2016,4,4,0.4917431916631607,1,3,5
1984,2003,4,1,0.43473990101937665,2,2,5
1996,2020,3,2,0.8105319543518397,3,2,5
1998,2020,3,2,0.770503031672244,1,1,1
1981,2019,5,2,0.987097460849271,1,2,3
1992,2018,5,1,0.8908556155079769,2,3,2
2002,2020,3,4,0.5121348631899101,2,1,4
2000,2020,3,3,0.0655148917990861,2,2,1
1996,2020,1,3,0.44096692884750976,2,1,4
1966,2002,1,3,0.8599187685142099,3,3,4
1976,2006,4,2,0.07156630439553391,3,3,1
1978,2008,4,4,0.24537138764349098,3,3,3
1978,2006,4,4,0.780352917275305,1,3,1
1985,2020,3,4,0.14332126859435346,3,3,1
1992,2020,3,1,0.9490184228139786,3,1,3
1988,2008,4,3,0.6006227644925286,1,3,3
1973,1993,1,4,0.8637429913667786,1,2,3
1997,2020,2,2,0.2213472066170401,1,1,3
1997,2017,5,1,0.450169547228207,1,3,1
1966,2005,3,1,0.9865264374968532,1,3,5
1976,1994,5,1,0.28566288689017816,1,1,5
1961,1983,3,3,0.13068259790517978,3,3,5
1997,2015,1,3,0.691361817518255,1,2,5
1990,2020,1,4,0.31381963559019077,2,3,5
1968,2007,3,4,0.7836818056239202,1,1,3
1996,2020,3,3,0.6654027664466743,2,2,2
1964,1983,3,3,0.29286311132721243,1,2,2
2001,2020,2,4,0.6890846565816129,2,1,2
1969,1998,5,4,0.7561805682790643,1,2,2
1969,1997,5,2,0.9445491607645541,1,2,5
1975,1994,2,4,0.18693561793112734,1,3,2
1997,2020,5,2,0.4772184425316194,3,2,2
1966,1986,2,3,0.46444635184333405,2,1,4
1965,1995,1,1,0.3505643360924743,3,3,4
1999,2020,4,1,0.2797458725233082,2,2,3
1996,2020,4,3,0.6294457427008394,3,2,1
1968,1986,1,1,0.07109573136309377,1,3,1
1989,2020,1,2,0.8743461887794175,3,3,5
2001,2020,1,4,0.46031603010517186,3,2,4
1969,2005,3,1,0.00026752602508406387,2,1,5
1966,1997,5,3,0.3824240240536636,3,1,3
1989,2020,2,2,0.609056629777473,2,3,4
1996,2020,1,3,0.8769427640597909,2,2,4
1993,2012,3,1,0.9811906960471416,3,2,1
1963,1988,4,2,0.19661204974131086,1,2,5
1980,2010,5,2,0.8423131008015944,1,1,3
1972,1996,2,2,0.031950517381894916,1,2,3
1963,1992,3,1,0.24413810043822637,3,2,2
1995,2020,1,3,0.46102114065939004,1,3,2
1991,2020,3,4,0.025076995783516853,3,1,5
1968,1993,2,2,0.38750361936218514,2,2,4
1992,2016,4,1,0.8148618437653251,1,1,2
1980,2013,2,1,0.675856772043354,2,2,4
1965,1988,3,1,0.03501960288123762,3,2,3
1964,1994,5,3,0.8834712647730252,3,3,2
1989,2020,5,4,0.29456969829885105,1,3,4
1971,2010,2,2,0.02354394269692095,1,3,4
1983,2008,2,4,0.35350252814474037,3,3,1
1996,2019,3,2,0.21304684440894617,1,3,3
1985,2006,1,1,0.4059267754453185,1,2,2
1987,2020,5,1,0.1320428277655179,1,1,1
1971,1997,1,3,0.36335349347923396,3,1,5
1979,1999,5,4,0.9181142059206306,2,2,1
1979,1997,1,1,0.18309749819024002,1,3,5
1973,1998,1,3,0.7875173937145518,3,1,4
2000,2020,3,4,0.048720206780250686,3,2,4
1992,2020,3,2,0.4128682110316617,2,2,5
2002,2020,1,2,0.024547009365797234,3,2,2
1986,2012,1,1,0.9341800683336666,1,2,3
1962,1990,4,1,0.9978366056385981,2,1,3
1973,1997,5,1,0.11798930758883519,3,3,2
2001,2020,1,1,0.47022429769954477,1,1,4
1990,2020,3,4,0.1429999203879504,2,3,2
1985,2020,2,4,0.9714550702300376,3,2,1
1961,1985,3,2,0.9908844695621418,1,1,5
1989,2020,3,2,0.09203054354342344,1,1,2
1973,1993,5,4,0.16359051714882344,2,1,3
1976,2012,2,2,0.9151532066868826,2,3,2
1960,1998,4,2,0.993072300528483,3,3,2
1983,2006,4,4,0.8779850538311855,2,3,1
1970,1998,5,4,0.5405071552287107,2,3,4
1995,2020,3,3,0.36304778185357056,1,3,1
1995,2013,3,1,0.1429795397089706,1,1,4
1992,2020,5,4,0.41742084307980054,3,3,3
1983,2019,1,2,0.7810581855640175,2,2,5
2000,2020,3,2,0.4528711641087796,2,2,5
1964,1995,5,3,0.47539985152190667,3,3,1
1990,2020,1,4,0.15197846226543232,3,3,3
1965,2002,5,4,0.7520440598163567,2,2,4
1989,2012,3,4,0.901828013155701,1,3,5
1971,2008,5,3,0.9859809399316576,3,3,1
1995,2019,5,2,0.5686213272543459,3,2,1
1966,1986,3,4,0.5399665516992103,2,3,3
1981,2016,1,4,0.0864464327460307,2,3,1
1994,2020,2,2,0.8840498125445596,3,3,4
1969,1994,1,3,0.9559235471206351,3,3,1
1994,2019,5,1,0.824807179766129,1,2,5
1994,2020,1,3,0.9175288694699948,2,2,2
1996,2017,5,3,0.4411733455918354,3,2,4
1976,2015,1,4,0.5266337258821873,2,1,4
1961,2001,5,2,0.6886522074823542,3,3,5
1960,1985,1,2,0.14537801035680942,3,2,3
1968,2004,1,3,0.18583378069039513,1,2,3
1996,2020,1,4,0.9983112109229121,2,3,4
1972,1994,3,1,0.12326385283967667,1,2,1
1998,2020,5,1,0.7761218310861309,3,2,5
1976,2000,2,1,0.1282496034867291,1,2,5
1983,2001,1,3,0.21021066642085962,3,3,4
1960,1999,1,3,0.03788859772861075,1,1,1
1976,2001,3,2,0.1849988245787204,1,3,3
1989,2020,3,1,0.48123716133833394,2,2,2
1962,1989,1,1,0.39877338674959995,3,2,5
1980,2010,1,2,0.9949964182867201,1,1,4
1963,1985,1,1,0.3176556151414004,1,1,5
2001,2020,1,1,0.2556530176898828,1,3,2
1962,1991,2,4,0.3820473812497922,2,2,1
1991,2013,5,4,0.16879812346134027,2,1,3
1997,2020,4,1,0.20582496372069048,2,3,2
1981,2008,3,1,0.35767011091674594,3,2,2
1975,2013,2,1,0.25974150330398527,2,3,3
1976,1998,4,2,0.5358232994031384,2,2,2
1962,1980,1,1,0.9704884263243143,1,3,3
2001,2020,3,2,0.7999088074759644,3,1,2
1962,1994,2,2,0.6766944711499111,1,2,3
1981,2001,3,2,0.006765805467332742,2,1,4
1965,1994,5,2,0.6900951500636684,3,1,4
1988,2020,1,3,0.9719416777549273,2,1,4
1961,1983,1,3,0.4513146874731413,1,2,2
1997,2020,3,3,0.38356166369350875,3,1,3
1990,2020,5,4,0.018707453340521152,1,1,4
2002,2020,5,2,0.8863196167730418,1,1,1
1998,2016,1,1,0.825149980621853,2,1,4
